text|entity_start|entity_end|emotion_labels|emotions
I feel ... when I watch my football team lose.|6|9|[5]|['sadness']
I feel ... when Oldham Athletic manage to stay in the premiership.|0|1|[3, 4]|['joy', 'neutral']
I feel ... when Oldham Athletic manage to stay in the premiership.|4|7|[3]|['joy']
I feel...because I can't stand when people lie.|4|5|[0, 5]|['anger', 'sadness']
I feel...because I can't stand when people lie.|9|10|[4]|['neutral']
I feel...because I didn't help my son as much as I could have.|8|10|[4]|['neutral']
I feel...because I have forgotten to renew my library books and those of my elderly neighbour and was worried that she would get a fine.|4|5|[2]|['fear']
I feel...because I have forgotten to renew my library books and those of my elderly neighbour and was worried that she would get a fine.|15|18|[4]|['neutral']
I feel...because life is an unknown, and it's not knowing in life that brings me fear. It's...sometimes. I feel it everyday.|26|27|[2]|['fear']
I feel...because my country’s elected representatives are making us a laughing stock.|0|1|[0, 5]|['anger', 'sadness']
I feel...because my country’s elected representatives are making us a laughing stock.|4|11|[4]|['neutral']
I feel...because the government fails to listen to the people but steams on with its own ideas and plans anyway.|0|1|[0, 5]|['anger', 'sadness']
I feel...because the government fails to listen to the people but steams on with its own ideas and plans anyway.|4|6|[4]|['neutral']
I feel...because the government fails to listen to the people but steams on with its own ideas and plans anyway.|10|12|[0, 5]|['anger', 'sadness']
I feel...because we are staying home on New Year's Eve and I should perhaps have organised something for the kids.|21|23|[4]|['neutral']
I feel...of becoming well known because of posting many photos on social media.  I like to remain as a private person and not be recognised just because I have posted online.|31|32|[0, 2]|['anger', 'fear']
I feel...when I eat some out of date food.|4|5|[2, 1, 4]|['fear', 'disgust', 'neutral']
I feel...when I go to the local nature reserve and find a car dumped there half in a ditch.|4|5|[0, 5]|['anger', 'sadness']
I feel...when I keep seeing reports of airports being shutdown because of stupid morons flying drones too close and I feel...that I live in the same country as these people who have nothing better to do with their time than cause misery to thousands of people and costing companies millions.|26|27|[0]|['anger']
I feel...when I keep seeing reports of airports being shutdown because of stupid morons flying drones too close and I feel...that I live in the same country as these people who have nothing better to do with their time than cause misery to thousands of people and costing companies millions.|53|54|[0]|['anger']
I feel...when I keep seeing reports of airports being shutdown because of stupid morons flying drones too close and I feel...that I live in the same country as these people who have nothing better to do with their time than cause misery to thousands of people and costing companies millions.|14|17|[3]|['joy']
I feel...when I keep seeing reports of airports being shutdown because of stupid morons flying drones too close and I feel...that I live in the same country as these people who have nothing better to do with their time than cause misery to thousands of people and costing companies millions.|48|51|[0, 5]|['anger', 'sadness']
I feel...when I remember being part of a group of children who verbally bullied another child in middle school.|9|13|[3]|['joy']
I feel...when I remember being part of a group of children who verbally bullied another child in middle school.|16|18|[0, 5]|['anger', 'sadness']
I feel...when people don't close their mouths when eating and talk with their mouths full.|0|1|[1]|['disgust']
I feel...when people don't close their mouths when eating and talk with their mouths full.|4|5|[4]|['neutral']
I felt ... about having let my debt situation get so bad that I ended up with a CCJ.|13|14|[5]|['sadness']
I felt ... after attending the Walt Strony organ concert last Saturday and hearing all the dramatic music.|0|1|[3]|['joy']
I felt ... after telling my aunt a little white lie as I didn't want to take her to a hospital appointment. I'm ... of my laziness.|5|7|[5]|['sadness']
I felt ... after the birth of my first grandchild.|0|1|[3]|['joy']
I felt ... after the birth of my first grandchild.|7|11|[4]|['neutral']
I felt ... as I forgot my dad’s birthday once when I was younger.|6|8|[5, 4]|['sadness', 'neutral']
I felt ... as a child when I did something naughty and my mum found out. I was so ... and didn’t know what to do to make the situation better.|17|18|[5]|['sadness']
I felt ... as a child when I did something naughty and my mum found out. I was so ... and didn’t know what to do to make the situation better.|12|14|[0]|['anger']
I felt ... at a nearby footpath level crossing over a railway line that the remains of a fox was present - and had likely been hit by a train.|0|1|[5]|['sadness']
I felt ... at a recent news story, where a rapist was trying to get sole custody of the child that resulted from the rape.|0|1|[0]|['anger']
I felt ... at a recent news story, where a rapist was trying to get sole custody of the child that resulted from the rape.|10|12|[4]|['neutral']
I felt ... at a recent news story, where a rapist was trying to get sole custody of the child that resulted from the rape.|19|21|[2, 4]|['fear', 'neutral']
I felt ... because I cheated on my husband.|7|9|[0, 5]|['anger', 'sadness']
I felt ... because I could not help a friend when she was really in need of help but I had already promised to be somewhere else that week, and could not let that person down.|19|20|[5]|['sadness']
I felt ... because I could not help a friend when she was really in need of help but I had already promised to be somewhere else that week, and could not let that person down.|8|10|[5]|['sadness']
I felt ... because I could not help a friend when she was really in need of help but I had already promised to be somewhere else that week, and could not let that person down.|34|36|[3]|['joy']
I felt ... because I finished with a boyfriend who hadn't done anything wrong.|4|5|[5]|['sadness']
I felt ... because I finished with a boyfriend who hadn't done anything wrong.|7|9|[5]|['sadness']
I felt ... because I forgot a friend's birthday.|7|8|[5]|['sadness']
I felt ... because I forgot my parent's wedding anniversary.|6|8|[5, 4]|['sadness', 'neutral']
I felt ... because I got an A in one of my exams.|4|5|[3, 3]|['joy', 'joy']
I felt ... because I had been quite harsh to my partner because he had really annoyed me and I should have just taken a minute to calm down rather than saying something rude.|10|12|[0, 5]|['anger', 'sadness']
I felt ... because I had hit my goal for the day.|4|5|[3]|['joy']
I felt ... because I had put on weight and my work trousers didn't fit.|4|5|[5]|['sadness']
I felt ... because I had to have my chocolate labrador put to sleep as she was old and her quality of life wasn’t very good.|4|5|[5]|['sadness']
I felt ... because I lied to my partner about having an affair.|7|9|[5]|['sadness']
I felt ... because I missed seeing my son when he couldn't visit as he wasn't feeling well.|4|5|[5]|['sadness']
I felt ... because I missed seeing my son when he couldn't visit as he wasn't feeling well.|7|9|[5]|['sadness']
I felt ... because I received more holidays than I thought I would get, so I could spend more time on my hobbies.|16|17|[3]|['joy']
I felt ... because I refused to lend money to someone, even though I could afford to do so.|14|15|[4]|['neutral']
I felt ... because I refused to lend money to someone, even though I could afford to do so.|10|11|[0, 5, 4]|['anger', 'sadness', 'neutral']
I felt ... because I settled for a relationship where I was never going to be happy but felt I had no choice for financial reasons.|19|20|[5]|['sadness']
I felt ... because I spent Christmas with my family.|4|5|[3]|['joy']
I felt ... because I spent Christmas with my family.|9|11|[3]|['joy']
I felt ... because I walked past a beggar and didn't bother to stop and give her a pound.|4|5|[4]|['neutral']
I felt ... because I walked past a beggar and didn't bother to stop and give her a pound.|7|10|[5, 4]|['sadness', 'neutral']
I felt ... because I was going to South Africa to see my partner who was waiting for a UK visa and we hadn't seen each other for a while, I was excited not just to see him but to visit a new country with such a wide variety of things to do, places to go and things to see.|34|35|[3]|['joy']
I felt ... because I was going to South Africa to see my partner who was waiting for a UK visa and we hadn't seen each other for a while, I was excited not just to see him but to visit a new country with such a wide variety of things to do, places to go and things to see.|13|15|[3]|['joy']
I felt ... because I was going to South Africa to see my partner who was waiting for a UK visa and we hadn't seen each other for a while, I was excited not just to see him but to visit a new country with such a wide variety of things to do, places to go and things to see.|24|25|[3]|['joy']
I felt ... because I was supposed to buy an urgent item for my partner but I forgot and the shops were closed by the time I remembered.|13|15|[0, 5]|['anger', 'sadness']
I felt ... because I was unable to attend my son’t concert, because of work commitments.|4|5|[5]|['sadness']
I felt ... because I was unable to attend my son’t concert, because of work commitments.|9|11|[5, 4]|['sadness', 'neutral']
I felt ... because I was walking around in the dark.|4|5|[2, 4]|['fear', 'neutral']
I felt ... because I wasn't there when my mother died.|4|5|[5]|['sadness']
I felt ... because a fight broke out in a bar where I was drinking|12|13|[2]|['fear']
I felt ... because at school, I took my friend's book from his backpacks. I was afraid to admit it.|9|11|[0, 5]|['anger', 'sadness']
I felt ... because my children were very sad as one of their beloved pets of many years died suddenly and I was very ... because of both the pet dying and because of my childrens' sadness.|21|22|[5]|['sadness']
I felt ... because my children were very sad as one of their beloved pets of many years died suddenly and I was very ... because of both the pet dying and because of my childrens' sadness.|34|36|[5]|['sadness']
I felt ... because my country is treating EU citizens terribly.|8|11|[0, 5]|['anger', 'sadness']
I felt ... because my country is treating EU citizens terribly.|0|1|[0, 5]|['anger', 'sadness']
I felt ... because my daughter managed to achieve an amazing result in an international competition for creatives. As a finalist, she had some brilliant prizes and encouragement and it brought the whole family much ...|0|1|[3]|['joy']
I felt ... because my daughter managed to achieve an amazing result in an international competition for creatives. As a finalist, she had some brilliant prizes and encouragement and it brought the whole family much ...|4|6|[3]|['joy']
I felt ... because my daughter managed to achieve an amazing result in an international competition for creatives. As a finalist, she had some brilliant prizes and encouragement and it brought the whole family much ...|35|38|[3]|['joy']
I felt ... because my daughter was handpicked to travel abroad to prepare an advertising campaign for a well known charity.|0|1|[3]|['joy']
I felt ... because my daughter was handpicked to travel abroad to prepare an advertising campaign for a well known charity.|4|6|[3]|['joy']
I felt ... because my dog was aggressive with another smaller dog for no obvious reason.|0|1|[0]|['anger']
I felt ... because my friend died after a secret battle with breast cancer.  She lied to her friends for 10 years so it was a mixture of ... at her death and that she didn't feel she could share her load so her friends could help.|0|1|[5]|['sadness']
I felt ... because my friend died after a secret battle with breast cancer.  She lied to her friends for 10 years so it was a mixture of ... at her death and that she didn't feel she could share her load so her friends could help.|46|48|[5]|['sadness']
I felt ... because my housemates were dicks.|0|1|[0, 5]|['anger', 'sadness']
I felt ... because my housemates were dicks.|4|7|[4]|['neutral']
I felt ... because my mother died of cancer. It was the biggest loss I ever had and I still miss her everyday.|19|20|[5]|['sadness']
I felt ... because my son finished the essay on time for his Master's degree;  this was a real achievement.|0|1|[3]|['joy']
I felt ... because my son finished the essay on time for his Master's degree;  this was a real achievement.|4|6|[3]|['joy']
I felt ... because my son gave me a big hug when I got home from work.|12|13|[3]|['joy']
I felt ... because my son gave me a big hug when I got home from work.|4|6|[3]|['joy']
I felt ... because my son was slapped at school by a teaching assistant.|0|1|[0]|['anger']
I felt ... because my son was slapped at school by a teaching assistant.|4|6|[0, 2, 5]|['anger', 'fear', 'sadness']
I felt ... because one of my children lied. I taught them not to, but natural sin came out and I was surprised to find myself so cross.|22|23|[0]|['anger']
I felt ... because one of my friends was mistreated by her husband.|0|1|[0, 5]|['anger', 'sadness']
I felt ... because one of my friends was mistreated by her husband.|12|14|[4]|['neutral']
I felt ... because one of my friends was mistreated by her husband.|4|8|[5, 2]|['sadness', 'fear']
I felt ... because our family dog died. She was a big part of my teenage years and I was ... that she died.|19|20|[5]|['sadness']
I felt ... because the drain smelled.|0|1|[1]|['disgust']
I felt ... because the neighbour had hidden his plans for a development from us, without feeling any remorse.|0|1|[0]|['anger']
I felt ... because the neighbour had hidden his plans for a development from us, without feeling any remorse.|4|6|[4]|['neutral']
I felt ... because the parents dropping their kids off to school were driving and parking dangerously.|0|1|[0, 2]|['anger', 'fear']
I felt ... because the parents dropping their kids off to school were driving and parking dangerously.|4|6|[4]|['neutral']
I felt ... because the parents dropping their kids off to school were driving and parking dangerously.|7|9|[4]|['neutral']
I felt ... because we had a beautiful tortoiseshell and white cat who was very loving. When she was only 2 she became very unwell and I had to take her to the vets they x rayed her and said she had a twisted gut and it would be better to put her down.|31|32|[5]|['sadness']
I felt ... because we had a beautiful tortoiseshell and white cat who was very loving. When she was only 2 she became very unwell and I had to take her to the vets they x rayed her and said she had a twisted gut and it would be better to put her down.|37|39|[5]|['sadness']
I felt ... because we had a beautiful tortoiseshell and white cat who was very loving. When she was only 2 she became very unwell and I had to take her to the vets they x rayed her and said she had a twisted gut and it would be better to put her down.|39|40|[4]|['neutral']
I felt ... because we had a beautiful tortoiseshell and white cat who was very loving. When she was only 2 she became very unwell and I had to take her to the vets they x rayed her and said she had a twisted gut and it would be better to put her down.|4|5|[5]|['sadness']
I felt ... by not letting my sister help me sort out my bedroom, after she offered.|0|1|[5, 4]|['sadness', 'neutral']
I felt ... by not letting my sister help me sort out my bedroom, after she offered.|6|8|[5, 4]|['sadness', 'neutral']
I felt ... driving through my nearest city late one Saturday night and seeing groups of young males vomiting and urinating in various shop doorways.|0|1|[0, 1]|['anger', 'disgust']
I felt ... driving through my nearest city late one Saturday night and seeing groups of young males vomiting and urinating in various shop doorways.|15|19|[3, 4]|['joy', 'neutral']
I felt ... giving a cheque to the managing agent which did not cover all I owed.|16|17|[2]|['fear']
I felt ... giving a cheque to the managing agent which did not cover all I owed.|8|11|[4]|['neutral']
I felt ... reading about the suffering of slaves in the middle passage when I read about it at university.|14|15|[5, 4]|['sadness', 'neutral']
I felt ... reading about the suffering of slaves in the middle passage when I read about it at university.|8|9|[0, 5]|['anger', 'sadness']
I felt ... that I failed to pay back a loan from my parents, preferring to assume it had been forgotten about rather than reminded them of the subject when the opportunity arose.|12|14|[0, 5]|['anger', 'sadness']
I felt ... that I moan about a life that is essentially privileged and comfortable, when there is real poverty in the world, even on the streets of my city.|4|5|[5]|['sadness']
I felt ... that I moved away to another country from my family as I met my partner. Although my children are now older and both have their own lives, I feel I should be nearer them to support them.|34|35|[5]|['sadness']
I felt ... that I moved away to another country from my family as I met my partner. Although my children are now older and both have their own lives, I feel I should be nearer them to support them.|20|22|[3]|['joy']
I felt ... that I moved away to another country from my family as I met my partner. Although my children are now older and both have their own lives, I feel I should be nearer them to support them.|11|13|[5]|['sadness']
I felt ... that I moved away to another country from my family as I met my partner. Although my children are now older and both have their own lives, I feel I should be nearer them to support them.|16|18|[3]|['joy']
I felt ... that I received a Valentines Day card, and happened to recognise the handwriting as being from a girl I had a huge crush on.|24|25|[3]|['joy']
I felt ... that I received a Valentines Day card, and happened to recognise the handwriting as being from a girl I had a huge crush on.|22|24|[3]|['joy']
I felt ... that a friend's pet rabbit had to be put to sleep, although he was a fine age and had always been wonderfully cared for.|0|1|[5]|['sadness']
I felt ... that a friend's pet rabbit had to be put to sleep, although he was a fine age and had always been wonderfully cared for.|4|6|[5]|['sadness']
I felt ... that it was the ten year anniversary of my grandad's funeral - I feel it every year, though this particular milestone seemed extra upsetting.|17|18|[5]|['sadness']
I felt ... that my bank had charged me so much for briefly exceeding my overdraft limit, considering how many hours it would take me to earn that amount in the outside world.|0|1|[0]|['anger']
I felt ... that my partner's Grandma misses having the company of a cat, and won't consider getting one for fears of what might happen to it after she is gone.|0|1|[5]|['sadness']
I felt ... that my partner's Grandma misses having the company of a cat, and won't consider getting one for fears of what might happen to it after she is gone.|4|6|[5]|['sadness']
I felt ... that my partner's Grandma misses having the company of a cat, and won't consider getting one for fears of what might happen to it after she is gone.|4|8|[5, 2]|['sadness', 'fear']
I felt ... that when I was in my teen years I never did well at school. On one occasion I brought home a school report card which was full of the just about the worst grades you can get.  My mother showed her displeasure towards me.|21|22|[5]|['sadness']
I felt ... that when I was in my teen years I never did well at school. On one occasion I brought home a school report card which was full of the just about the worst grades you can get.  My mother showed her displeasure towards me.|43|45|[0, 5]|['anger', 'sadness']
I felt ... the first day I brought home our rescue kittens from the shelter and let them out of the carrier.|6|7|[3]|['joy']
I felt ... watching my sapphire ring sparkle in the sunshine.|0|1|[3]|['joy']
I felt ... when I ate  my daughter's burger from McDonald and she was upset after that.|7|9|[0, 5]|['anger', 'sadness']
I felt ... when I ate  my daughter's burger from McDonald and she was upset after that.|15|16|[0]|['anger']
I felt ... when I ate my whole Easter egg in one go.|4|5|[1, 4]|['disgust', 'neutral']
I felt ... when I ate the last burrito which belonged to my sister.|4|5|[4]|['neutral']
I felt ... when I ate the last burrito which belonged to my sister.|13|15|[0, 5]|['anger', 'sadness']
I felt ... when I bet and I had won.|7|8|[3, 3]|['joy', 'joy']
I felt ... when I bought my first home.|4|5|[3]|['joy']
I felt ... when I bumped into a neighbour in the supermarket who I usually ignore because she lets her kids run riot but then I felt ... that maybe I was being unnecessarily harsh.|30|31|[0]|['anger']
I felt ... when I bumped into a neighbour in the supermarket who I usually ignore because she lets her kids run riot but then I felt ... that maybe I was being unnecessarily harsh.|7|9|[3, 4]|['joy', 'neutral']
I felt ... when I bumped into a neighbour in the supermarket who I usually ignore because she lets her kids run riot but then I felt ... that maybe I was being unnecessarily harsh.|19|21|[3]|['joy']
I felt ... when I came across a dead cat in bits on the motorway, when I was driving earlier.|18|19|[0, 5, 1]|['anger', 'sadness', 'disgust']
I felt ... when I completed a very long mountain trek for charity, and felt utter ... when I finished.|19|20|[3]|['joy']
I felt ... when I could hear shouting outside my house. I really didn’t want to hear it, and I was ... to look out of the window. I was very ... and couldn’t settle and my breathing wasn’t very good.|34|35|[0, 2]|['anger', 'fear']
I felt ... when I could not pay my electric bill reminder as I have no money.|13|14|[5, 2]|['sadness', 'fear']
I felt ... when I couldn't find anyone to allow me to swap in with me on the hockey field. I was not good at team sports, always picked last, and the teacher had told me to swap in with someone, but everyone refused as they wanted a decent game.|22|23|[5]|['sadness']
I felt ... when I couldn't find anyone to allow me to swap in with me on the hockey field. I was not good at team sports, always picked last, and the teacher had told me to swap in with someone, but everyone refused as they wanted a decent game.|47|48|[4]|['neutral']
I felt ... when I couldn't find anyone to allow me to swap in with me on the hockey field. I was not good at team sports, always picked last, and the teacher had told me to swap in with someone, but everyone refused as they wanted a decent game.|35|37|[4]|['neutral']
I felt ... when I couldn’t visit my mum every day, whilst she was in hospital.|4|5|[5]|['sadness']
I felt ... when I couldn’t visit my mum every day, whilst she was in hospital.|10|12|[5, 4]|['sadness', 'neutral']
I felt ... when I cycled down a mountain in Scotland.|4|5|[3, 2]|['joy', 'fear']
I felt ... when I decided not to go to my cousins wedding because I was exhausted and couldn’t find anyone to look after my sick parent at the time. I knew she really wanted me to be there, so I felt really ... that I didn’t make it.|27|30|[4]|['neutral']
I felt ... when I did a bungee jump. It was the first time I had done an extreme sport and I was ... of the height of the jump.|23|24|[3, 2]|['joy', 'fear']
I felt ... when I did not get round to doing the minutes of a meeting for almost three weeks.|4|5|[0, 4]|['anger', 'neutral']
I felt ... when I did not have the money for tickets to go and see my parents more often.|4|5|[5]|['sadness']
I felt ... when I did not have the money for tickets to go and see my parents more often.|16|18|[5]|['sadness']
I felt ... when I did not volunteer to drive my parents back from London, when they said mum did not want dad to drive in the dark.|10|12|[0, 5]|['anger', 'sadness']
I felt ... when I didn't hear from an old friend that I messaged to wish a Happy Christmas.|13|14|[5]|['sadness']
I felt ... when I didn't hear from an old friend that I messaged to wish a Happy Christmas.|9|12|[4]|['neutral']
I felt ... when I didn’t do as well in my exams as I should have. I was so ... I hid the results from everyone and told them I got a good mark.|29|30|[3, 4]|['joy', 'neutral']
I felt ... when I discovered I have a health problem that although not too serious will limit my life a little and signifies I am getting old.|24|25|[5]|['sadness']
I felt ... when I failed my ninth year at high school.|4|5|[5]|['sadness']
I felt ... when I finally managed to complete my undergraduate degree. I felt ... because it had been a long hard three years so when it was finally completed, I felt very ...|32|33|[3]|['joy']
I felt ... when I first flew on a plane.|4|5|[3, 2]|['joy', 'fear']
I felt ... when I forgot a relative's birthday.|6|8|[5, 4]|['sadness', 'neutral']
I felt ... when I forgot to do an errand that I promised I would do for a friend.|18|20|[0, 5]|['anger', 'sadness']
I felt ... when I found a paperback I had been looking for in a charity shop, in excellent condition and much cheaper than it would have cost to buy online.|8|9|[3, 3]|['joy', 'joy']
I felt ... when I found half a sausage roll caked in fluff hidden down the back of my bed's headboard.|4|5|[1]|['disgust']
I felt ... when I found out how sly my daughter's classmate was acting. She's not a nice person, but she won't be telling my child what to do.|4|5|[0]|['anger']
I felt ... when I found out how sly my daughter's classmate was acting. She's not a nice person, but she won't be telling my child what to do.|9|11|[4]|['neutral']
I felt ... when I found out how sly my daughter's classmate was acting. She's not a nice person, but she won't be telling my child what to do.|9|13|[3, 4]|['joy', 'neutral']
I felt ... when I found out one of my favourite shops had shut down.|4|5|[5]|['sadness']
I felt ... when I found out that my 13 year old son had a girlfriend and that we were going to meet her...he was so happy when telling us the news and if filled me with such ... to see him so happy.|4|5|[3]|['joy']
I felt ... when I found out that my 13 year old son had a girlfriend and that we were going to meet her...he was so happy when telling us the news and if filled me with such ... to see him so happy.|14|16|[3]|['joy']
I felt ... when I found out that my 13 year old son had a girlfriend and that we were going to meet her...he was so happy when telling us the news and if filled me with such ... to see him so happy.|8|13|[3]|['joy']
I felt ... when I found out that my 13 year old son had a girlfriend and that we were going to meet her...he was so happy when telling us the news and if filled me with such ... to see him so happy.|18|19|[3]|['joy']
I felt ... when I gave a postcard to a friend with a photo of some deer with big ears on it, as he had ears that stuck out, and he never said a word to me about it.|4|5|[3, 5]|['joy', 'sadness']
I felt ... when I gave a postcard to a friend with a photo of some deer with big ears on it, as he had ears that stuck out, and he never said a word to me about it.|10|12|[0, 5, 4]|['anger', 'sadness', 'neutral']
I felt ... when I gave birth to each of my children, and I think it got more ... with each child as I wasn't worrying as much about the process! The wonder of meeting a small person who had been hidden away was incredible.|24|25|[3]|['joy']
I felt ... when I gave birth to each of my children, and I think it got more ... with each child as I wasn't worrying as much about the process! The wonder of meeting a small person who had been hidden away was incredible.|10|12|[4]|['neutral']
I felt ... when I got a cricket bat for my birthday when young.|4|5|[3]|['joy']
I felt ... when I got a new job.|4|5|[3]|['joy']
I felt ... when I had a car accident and put two teenagers boys in hospital.|4|5|[5]|['sadness']
I felt ... when I had a car accident and put two teenagers boys in hospital.|11|14|[0, 2, 5]|['anger', 'fear', 'sadness']
I felt ... when I had an affair and told my husband it was only online and that I’d never met the man in question.|10|12|[0, 5]|['anger', 'sadness']
I felt ... when I had an affair and told my husband it was only online and that I’d never met the man in question.|24|26|[3, 4]|['joy', 'neutral']
I felt ... when I had my exam results and I had passed my Staff Nurse training.|10|11|[3]|['joy']
I felt ... when I had to attend my grandmother's funeral.|4|5|[5]|['sadness']
I felt ... when I had to clean a very old toilet in a country house and the loo was very dirty and made me sick.|4|5|[1]|['disgust']
I felt ... when I had to clean up after people.|4|5|[0, 1]|['anger', 'disgust']
I felt ... when I had to clean up after people.|10|11|[4]|['neutral']
I felt ... when I had to clean up some fairly ... cat puke from the sofa this morning.|4|5|[1]|['disgust']
I felt ... when I had to drive along a flooded road on a dark night. I was ... that I would have an accident or that my car would break down.|21|22|[2]|['fear']
I felt ... when I had to file my divorce petition because I had to reveal the causes why my marriage failed.|12|13|[5, 4]|['sadness', 'neutral']
I felt ... when I had to go into hospital for an angiogram. I was ... that something would go wrong and I would die. It was a horrible feeling.|25|26|[2, 2]|['fear', 'fear']
I felt ... when I had to have my dog put to sleep.|4|5|[5]|['sadness']
I felt ... when I had to have radiotherapy for breast cancer and I was laid on the table and people kept walking in and out of the room and I felt it should have been more private.|21|22|[4]|['neutral']
I felt ... when I heard a man shouting at his girlfriend in a rather abusive manner.|4|5|[0, 2, 5]|['anger', 'fear', 'sadness']
I felt ... when I heard a man shouting at his girlfriend in a rather abusive manner.|6|8|[0]|['anger']
I felt ... when I heard a man shouting at his girlfriend in a rather abusive manner.|10|12|[5, 2]|['sadness', 'fear']
I felt ... when I heard that a celebrity had recently died.|4|5|[5]|['sadness']
I felt ... when I heard that a dog had been attacked by another larger dog and had died from its injuries.|4|5|[5]|['sadness']
I felt ... when I heard that my friend had given birth to twins and that mother and babies were doing well.|4|5|[3]|['joy']
I felt ... when I heard that my friend had given birth to twins and that mother and babies were doing well.|16|17|[3]|['joy']
I felt ... when I heard that my friend had given birth to twins and that mother and babies were doing well.|7|9|[3]|['joy']
I felt ... when I heard that my friend had given birth to twins and that mother and babies were doing well.|13|14|[4]|['neutral']
I felt ... when I heard that my husband's mother had to go back into hospital again after days of being home and appearing to get well.|4|5|[5, 2]|['sadness', 'fear']
I felt ... when I heard that my husband's mother had to go back into hospital again after days of being home and appearing to get well.|7|9|[2]|['fear']
I felt ... when I heard that my husband's mother had to go back into hospital again after days of being home and appearing to get well.|7|11|[2]|['fear']
I felt ... when I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food.|4|5|[5]|['sadness']
I felt ... when I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food.|23|25|[5]|['sadness']
I felt ... when I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food.|9|12|[5]|['sadness']
I felt ... when I knew that I was going back to Florida a year earlier than I thought I would.|21|22|[5, 3]|['sadness', 'joy']
I felt ... when I lay awake during the night and kept hearing unusual sounds coming from downstairs, though I tried to rationalise them so as not to get up and investigate.|20|21|[2]|['fear']
I felt ... when I left my mother dealing with my father's illness.|10|12|[5]|['sadness']
I felt ... when I left my mother dealing with my father's illness.|6|8|[5]|['sadness']
I felt ... when I left my old job through ill health. I was very ... to leave.|13|14|[5]|['sadness']
I felt ... when I lied to my wife.|7|9|[5]|['sadness']
I felt ... when I looked at my bank statement and saw I would end the year overdrawn again.|12|13|[0, 5, 5]|['anger', 'sadness', 'sadness']
I felt ... when I lost a necklace that a friend had lent to me. It has sentimental value to her and I felt very ... for not taking more care of it.|9|11|[5]|['sadness']
I felt ... when I lost my temper with my son.|9|11|[5, 2]|['sadness', 'fear']
I felt ... when I managed to complete a cryptic crossword.|4|5|[3]|['joy']
I felt ... when I managed to get all my tasks done in the day I wanted to without being sidetracked or giving up.|15|16|[3]|['joy']
I felt ... when I managed to lock myself out of my car whilst my keys were inside the car and the engine was running!|4|5|[0, 2]|['anger', 'fear']
I felt ... when I met up with an old friend that I hadn’t seen for years.|12|13|[3]|['joy']
I felt ... when I met up with an old friend that I hadn’t seen for years.|8|11|[3]|['joy']
I felt ... when I nearly got ran over.|4|5|[2]|['fear']
I felt ... when I offended an old man in the supermarket.|6|9|[0]|['anger']
I felt ... when I offended an old man.|6|9|[0, 2]|['anger', 'fear']
I felt ... when I opened my Christmas presents and I had got everything that was on my list.|11|12|[3]|['joy']
I felt ... when I opened the door to my partner's bathroom and saw the stinking state of the toilet.|4|5|[1]|['disgust']
