text|entity_start|entity_end|emotion_labels|emotions|emotion_count
'You wrote very kindly.'|1|2|[3]|['joy']|1
'Your coolness does me good,'' replied their guide.  |5|6|[3, 5]|['joy', 'surprise']|2
/--I am alive , though declared to be dead ; alive in the fullness of manly force/-- and even sorrow has left few distinguishing marks upon me , save one .|2|3|[0, 2, 3]|['anger', 'fear', 'joy']|3
/--I am alive , though declared to be dead ; alive in the fullness of manly force/-- and even sorrow has left few distinguishing marks upon me , save one .|32|33|[4]|['sadness']|1
A boy's love comes from a full heart; a man's is more often the result of a full stomach.|0|3|[3]|['joy']|1
A broken-hearted lover, a grief-stricken father, and a dozen sweet girls, their eyes and cheeks streaming with tears.|6|12|[4]|['sadness']|1
A cry burst from Octavia,--a queer, soft little cry.|4|6|[4]|['sadness']|1
A few minutes later she returned saying she was afraid Mrs. Lennox was dying, and that it might be as well to send to the hospital.|10|16|[2, 4]|['fear', 'sadness']|2
A few minutes later she returned saying she was afraid Mrs. Lennox was dying, and that it might be as well to send to the hospital.|7|8|[2]|['fear']|1
A hot flush showed itself on Miss Minchin's hard, angry face.|6|10|[0, 1]|['anger', 'disgust']|2
A man with a hand-cart, and with something shapeless upon the hand-cart, in the dark, hurrying towards the river--such a man would excite the suspicions of a policeman.|39|41|[2, 3, 5]|['fear', 'joy', 'surprise']|3
A minute or two ago she had been untroubled by a thought which concerned herself; now her blood was hot, and all her being moved at the impulse of a passionate desire.|26|27|[0, 3]|['anger', 'joy']|2
A moment later he was cantering up the road again, to the considerable astonishment of the labourers, who were accustomed to see him spend at least half an hour in examining the work done.|3|4|[3, 5]|['joy', 'surprise']|2
A new world opened out before you in endless vistas of untold and undreamed bliss.|6|7|[3]|['joy']|1
A sweet uncertainty of the future half-tinged your joy with a shadow of sadness, which you had not known before: but love sadness is only the shading and gentle pencilling in love's wondrous picture, whereby the whole light of the painting is made clearer and stronger.|19|20|[4]|['sadness']|1
A sweet uncertainty of the future half-tinged your joy with a shadow of sadness, which you had not known before: but love sadness is only the shading and gentle pencilling in love's wondrous picture, whereby the whole light of the painting is made clearer and stronger.|10|11|[3, 4]|['joy', 'sadness']|2
A truce to thy musty volumes!|3|4|[3]|['joy']|1
A woman of sordid mind could easily believe that most people would not refuse to allow their children to remain friends with a little heiress of diamond mines.|0|7|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
Adela knew that constraint between them was inevitable; it was enough that Emma spoke with good-will.|6|7|[0, 2, 4]|['anger', 'fear', 'sadness']|3
Adela was not so sad as they had feared to find her.|7|8|[2]|['fear']|1
Adela's bosom heaved, but excess of joy seemed to give her power to deal lightly with the gift that was offered her.|26|27|[3]|['joy']|1
After a long silence Kate said: 'I've been very ill, haven't I?|4|6|[1, 4]|['disgust', 'sadness']|2
"After all,"" she said, ""I have the consolation of knowing that you must have been very much in love with me."|14|15|[3]|['joy']|1
After an hour passed with Stella she could breathe freely the atmosphere of beauty and love.|7|8|[3]|['joy']|1
After breakfast, as usual, they drank coffee and smoked upon the terrace, which Beatrice was beginning to hate for its unpleasant associations.|17|19|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
After dinner Giovanni told him the story of Del Ferice's escape.|10|14|[2]|['fear']|1
After you have seen him, you cannot judge whether you ought to see him or not, retorted Doctor Longstreet growing red in the face.|20|23|[0]|['anger']|1
Again Mr. Juxon's authoritative tone checked the detective, who drew back, making some angry retort which no one heard.|1|8|[0, 1]|['anger', 'disgust']|2
Again, in these last moments, when the locked door still holds between them and the death awaiting them, her mood is one of agonised terror, not for herself, but for him; while he, exalted far above all fear, supports and calms her.|39|40|[3]|['joy']|1
Ah, but you did it, dear, all the same, she said, and kissed him.|13|14|[3, 5]|['joy', 'surprise']|2
Ah, why did I leave my life of contemplation and prayer to enter into that of desire....|4|5|[4, 5]|['sadness', 'surprise']|2
"Alack, cried Alicia, ""I am shent!"""|4|6|[4]|['sadness']|1
Alice and the doctor looked at each other and smiled, but their thoughts were too firmly fixed on the actual problem of their united lives to wander far in the most hidden ways of the old world's psychical extravagances.|0|5|[3, 5]|['joy', 'surprise']|2
Alice had lived with her mother in Wilton Square since her recovery from the illness which for a long time had kept her in ignorance of the double calamity fallen upon her.|34|35|[4]|['sadness']|1
Alice no longer concealed her joy.|0|2|[3]|['joy']|1
All that is of the intellect; I only live in my passion.|7|8|[3]|['joy']|1
All that you felt and knew in those short days of perfect love on earth was good and true and noble, and shall not be forgotten hereafter.|2|3|[3]|['joy']|1
All the desperate energy of a loving woman driven to bay was in her attitude as she repelled Macias, whereas in the agony of her last clinging appeal to him, as his guards lead him off, every trace of her momentary heroism had died away.|44|45|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
All this didn't sound very affectionate; but I think all the same Tiza did love Becky, and I believe she tried to do her best in her own funny way while Becky was ill.|37|39|[1, 4]|['disgust', 'sadness']|2
All this didn't sound very affectionate; but I think all the same Tiza did love Becky, and I believe she tried to do her best in her own funny way while Becky was ill.|15|17|[3]|['joy']|1
Almost I regretted it--yes, on my very wedding-morn I looked back to the old days--old now though so recent--and sighed to think they were ended.|14|15|[4]|['sadness']|1
Also because He is capable of all the highest emotions known to man, in a far larger and grander degree, besides possessing other sentiments and desires unimaginable to the human mind.|2|3|[5]|['surprise']|1
Always, till we die, my beloved, he repeated. |3|4|[2, 4]|['fear', 'sadness']|2
"Among other things, we spoke of the Spanish violinist Sarasate, and I amused Heliobas by quoting to him some of the criticisms of the London daily papers on this great artist, such as, ""He plays pieces which, though adapted to show his wonderful skill, are the veriest clap-trap;"" ""He lacks breadth and colour;"" ""A true type of the artist virtuoso,"" etc., etc."|20|21|[3]|['joy']|1
"Among other things, we spoke of the Spanish violinist Sarasate, and I amused Heliobas by quoting to him some of the criticisms of the London daily papers on this great artist, such as, ""He plays pieces which, though adapted to show his wonderful skill, are the veriest clap-trap;"" ""He lacks breadth and colour;"" ""A true type of the artist virtuoso,"" etc., etc."|55|56|[3, 5]|['joy', 'surprise']|2
An old fool, said I. An old reprobate, said Hedwig, from her corner, in deepest indignation.|14|16|[0, 1]|['anger', 'disgust']|2
An ye were the devil, I would not lay a hand on you. |1|2|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
An ye were the devil, ye might go where ye will for me.|10|11|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
And Captain Crewe thought so, too--and he died; and Mr. Carrisford had brain fever and ran away, and HE almost died.|28|29|[2, 4]|['fear', 'sadness']|2
And Captain Crewe thought so, too--and he died; and Mr. Carrisford had brain fever and ran away, and HE almost died.|28|29|[2, 4]|['fear', 'sadness']|2
"And I didn't expect you to-- ""But now""--he broke in impatiently."|13|14|[0, 4]|['anger', 'sadness']|2
And I grudged her nothing.|1|2|[0]|['anger']|1
And Madame de Châteauvieux, brushing the tears from her eyes with one hand, took Kendal's arm with the other, and hurried him along the narrow passages leading to the door on to the stage, M. de Châteauvieux following them, his keen French face glistening with a quiet but intense satisfaction.|61|62|[3]|['joy']|1
And after many strange things had happened, they knew each other well and loved each other dearly, and were married, although their marriage brought them the ill-will of several persons.|8|9|[3, 5]|['joy', 'surprise']|2
And again I dreamed, and thought she changed and melted, glowed and turned to me.|7|8|[3]|['joy']|1
And again years passed by, and Nellie grew in beauty as John grew in reputation; and Nellie had both brothers and sisters, as she had longed to have, and to her, their father was as her own; so that there was much harmony and peace and goodwill towards men in Billingsfield Hall.|20|23|[3]|['joy']|1
And all the time, as we were pitching it in red hot, we were keeping the women off him as best we could, for they were as wild as harpies.|27|28|[5]|['surprise']|1
And every month of his life he grew handsomer and more interesting.|6|7|[3]|['joy']|1
And full of happy people was the meadow between the old house on the Moss and the pack-horse road in front of it.|4|5|[3]|['joy']|1
And he rode forth and destroyed utterly the wild riders of the eastern hills, and left not one child to weep for its father that was dead.|7|14|[5]|['surprise']|1
And he took the bodies of Zoroaster the high priest, and of Nehushta the queen, and of the little Syrian maid, and he buried them with spices and fine linen, and in plates of pure gold, together in a tomb over against the palace, hewn in the rock of the mountain.|56|57|[2, 4]|['fear', 'sadness']|2
And he turned his quid and spat.|1|2|[0]|['anger']|1
And he was so proud of the sentiment that he looked around proudly and mopped his forehead.|9|10|[3]|['joy']|1
And he who hath created all things which we see and which perish quickly, hath created also the things which we have not seen, but shall see hereafter;--and the time is at hand when our eyes shall be opened to the world which endureth, though they be closed in death upon the things which perish.|52|53|[1, 2, 4]|['disgust', 'fear', 'sadness']|3
And he who hath created all things which we see and which perish quickly, hath created also the things which we have not seen, but shall see hereafter;--and the time is at hand when our eyes shall be opened to the world which endureth, though they be closed in death upon the things which perish.|21|22|[2, 4]|['fear', 'sadness']|2
And her hysterics got the better of the poor woman, and she began to laugh and cry both at once, and rock herself backward and forward.|13|14|[3, 4, 5]|['joy', 'sadness', 'surprise']|3
And hitherto it was his ignorance of Mr. Hyde that had swelled his indignation; now, by a sudden turn, it was his knowledge.|28|29|[0, 1]|['anger', 'disgust']|2
And how madly we did worship!|4|5|[0, 1, 2, 3, 4]|['anger', 'disgust', 'fear', 'joy', 'sadness']|5
"And it will be ""always,"" till they die together, I think."|8|9|[2, 4]|['fear', 'sadness']|2
And now /you/, of all people in the world, /you/, who, as I fancied, had long ago forgotten all about me, and were living comfortably in old England, turn up in a promiscuous way and find me where you least expected.|18|19|[3]|['joy']|1
And now he was strangely happy and strangely calm as he sat there by himself.|10|11|[3]|['joy']|1
And now it would seem as though even she had repented of it, and brought her gift with the rest.|17|18|[3, 5]|['joy', 'surprise']|2
And now it would seem as though even she had repented of it, and brought her gift with the rest.|8|9|[4]|['sadness']|1
And now when this toy kingdom of ours has fallen, first of all by my demerits, and next by your inexperience, and we are here alone together, as poor as Job and merely a man and a woman - let me conjure you to forgive the weakness and to repose in the love.|47|48|[5]|['surprise']|1
And now you will tell me that Ruggiero did wrong and was a great sinner, and a murderer, and a suicide, and old Luigione is sure that he is burning in unquenchable fire.|7|11|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
"And now you've lost her, she cried wildly; ""and some other school will get her and her money; and if she were like any other child she'd tell how she's been treated, and all our pupils would be taken away and we should be ruined."|35|36|[4, 5]|['sadness', 'surprise']|2
"And now you've lost her, she cried wildly; ""and some other school will get her and her money; and if she were like any other child she'd tell how she's been treated, and all our pupils would be taken away and we should be ruined."|2|3|[2, 4]|['fear', 'sadness']|2
And now, boy, the news of this battle, and the presence of yon crooked devil here in mine own wood, have broken me beyond all help.|27|28|[0, 4]|['anger', 'sadness']|2
And now, boy, the news of this battle, and the presence of yon crooked devil here in mine own wood, have broken me beyond all help.|15|19|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
And oh, how beautiful she was, how wondrous beautiful!|5|6|[3]|['joy']|1
And she dropped her face on his thin hand and kissed it again and again.|1|2|[3, 5]|['joy', 'surprise']|2
And she pushed through the crowd of white-robed men, who surged together in their sudden fear, like a white-crested wave heaved up from the deep by a fierce wind.|17|18|[0, 2, 5]|['anger', 'fear', 'surprise']|3
And she pushed through the crowd of white-robed men, who surged together in their sudden fear, like a white-crested wave heaved up from the deep by a fierce wind.|7|12|[5]|['surprise']|1
And she was in danger of making so much noise with her hysterical chokes and gurgles that her sister was obliged to go to her and apply salts and sal volatile to quiet her, instead of pouring forth her indignation at her audacity.|45|46|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
And she was in danger of making so much noise with her hysterical chokes and gurgles that her sister was obliged to go to her and apply salts and sal volatile to quiet her, instead of pouring forth her indignation at her audacity.|1|2|[2, 4]|['fear', 'sadness']|2
And she was out of the carriage; and Miss Belinda, following her closely, was horrified to see her caught at once in the embrace of a tall, bronzed young man, who, a moment after, drew her into the little parlor, and shut the door.|9|12|[2, 3, 5]|['fear', 'joy', 'surprise']|3
"And so, George Curtis ended, ""we have lived for nearly two years, like a second Robinson Crusoe and his man Friday, hoping against hope that some natives might come here to help us away, but none have come."|3|7|[1, 5]|['disgust', 'surprise']|2
And the younger woman's heart had gone out towards her, feeling how good a thing it is to find a friend in need, and learning to value in her happiness the wealth of human kindness she had found in her adversity.|42|43|[1, 3]|['disgust', 'joy']|2
And then Milly and Olly kissed Becky's pale little face and went away, while poor little Becky looked after them as if she was _very_ sorry to see the last of them; and outside there were Tiza and baby and Mrs. Backhouse and even John Backhouse himself, waiting to say good-bye to them.|2|7|[3]|['joy']|1
And then when Paolo was buried deep under the damp stones, who would be the first to ask for him?|3|5|[2, 4]|['fear', 'sadness']|2
And then, before he could add one word, a desperate seizure of pain shook the wounded man from head to foot, so that his body leaped in Dick's supporting arms, and with the extremity of that pang his spirit fled in silence.|16|19|[2]|['fear']|1
And then, still holding Madame de Châteauvieux with one hand, she held out the other to Paul, asking him how much fault he had to find, and when she was to take her scolding; and every gesture had a glow of youth and joy in it, of which the contagion was irresistible.|33|34|[4]|['sadness']|1
And then, still holding Madame de Châteauvieux with one hand, she held out the other to Paul, asking him how much fault he had to find, and when she was to take her scolding; and every gesture had a glow of youth and joy in it, of which the contagion was irresistible.|44|45|[0]|['anger']|1
And then, when her dear hand is about to open to him the door of his prison, it is too late.|16|17|[0, 2, 4]|['anger', 'fear', 'sadness']|3
And there, amid the sounding of tuckets and the clash of armoured soldiery and horses continually moving forth, Dick and Joan sat side by side, tenderly held hands, and looked, with ever growing affection, in each other's eyes.|23|27|[3]|['joy']|1
And to think that that quivering old mass of perambulating jealousy--that living incarnation of envy, hatred, malice, and all  uncharitableness--should be able to make you uncomfortable for a single moment, mother darling, with her petty, dribbling, doddering venom, why, it's simply unendurable.'|46|48|[3]|['joy']|1
And when he searched her face with eyes on fire with their joy, when he drew her to his heart in passionate triumph, the untruth of years fell from her like a veil, and she had achieved her womanhood.|15|16|[3]|['joy']|1
And when he searched her face with eyes on fire with their joy, when he drew her to his heart in passionate triumph, the untruth of years fell from her like a veil, and she had achieved her womanhood.|39|40|[3]|['joy']|1
And when he searched her face with eyes on fire with their joy, when he drew her to his heart in passionate triumph, the untruth of years fell from her like a veil, and she had achieved her womanhood.|11|12|[3]|['joy']|1
And when, down there among the mango-trees in the Terai, your lips first touched hers and your arm pressed her to your side, the joy that was yours was as the joy of the immortals.|27|28|[3]|['joy']|1
And with the letter telling the sad story in his hand, and illimitable sorrow in his soul, he went out in the evening air.|18|20|[2, 4]|['fear', 'sadness']|2
And yet the uneasiness grew upon him.|8|9|[4]|['sadness']|1
And yet, how pleasant to be bullied by her and to sue for pardon without having the slightest notion of what your fault was!|9|10|[0, 3, 5]|['anger', 'joy', 'surprise']|3
And yet, how pleasant to be bullied by her and to sue for pardon without having the slightest notion of what your fault was!|22|23|[4]|['sadness']|1
And--I am much happier--and I have come to ask you to do something for me.|8|9|[3]|['joy']|1
Another hour passed away, marked by the cavernous breathing of the woman as she crept to the edge of death.|15|16|[1, 2, 4]|['disgust', 'fear', 'sadness']|3
Anywhere, anywhere; only always with you, Nino, till we die together.|14|15|[2, 4]|['fear', 'sadness']|2
Appears he's taken a fancy to Lucia.|2|3|[3]|['joy']|1
As a poet forms poems, or a musician melodies, so God formed by a Thought the Vast Central Sphere in which He dwells, and peopled it with the pure creations of His glorious fancy.|37|38|[3]|['joy']|1
As for instance, when she found Him among the doctors of the law, she for one moment suffered her humanity to get the better of her in anxious inquiries; and His reply, 'Why sought ye Me?|15|16|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
As for poor Tiza, a long sleep had cheered her up greatly, and when Milly and Olly went to take her out with them after breakfast, they found her almost as merry and chatty as usual.|3|5|[3, 5]|['joy', 'surprise']|2
As for poor Tiza, a long sleep had cheered her up greatly, and when Milly and Olly went to take her out with them after breakfast, they found her almost as merry and chatty as usual.|34|35|[3]|['joy']|1
As for the other actors, I suppose they will get through their parts somehow, but at present I feel like a man at the foot of the gallows.|19|20|[0, 2, 4]|['anger', 'fear', 'sadness']|3
As he grew older, he had a great many quaint little ways which amused and interested people greatly.|5|6|[3]|['joy']|1
As it was, he began to see himself once more intruding, profiting, perhaps, by her misfortune, and now that she was fallen, proffering unloved caresses to the wife who had spurned him in prosperity.|20|21|[2, 4]|['fear', 'sadness']|2
As often as he reached the stage at which he imagined Paolo dead, hidden, and buried in a cellar, the same shiver passed through him as he glanced involuntarily behind him.|31|32|[2, 4]|['fear', 'sadness']|2
As she cried to him and to them all, she rushed forward and laid one hand upon his shoulder.|10|11|[4]|['sadness']|1
As the days went by her mind became denser, she fell into obtusities out of which she found it difficult to rouse herself.|21|22|[1, 2]|['disgust', 'fear']|2
As the evening shadows fell, Beatrice was seated at the piano in the sitting-room playing softly to herself such melancholy music as she could remember, which was not much.|6|8|[4]|['sadness']|1
As they steamed along a high embankment, he found himself looking into a little suburban cemetery.|11|12|[4]|['sadness']|1
As though to escape from it by braving it he set himself resolutely to consider the expediency of destroying his brother.|10|11|[0, 2, 4]|['anger', 'fear', 'sadness']|3
As yet, the confusion seemed to be all in the lower story of the palace, but the roaring din rose louder every moment--the shrieks of wounded women with the moaning of wounded men, the clash of swords and arms, and, occasionally, a quick, loud rattle, as half a dozen arrows that had missed their mark struck the wall together.|30|32|[0, 2, 4, 5]|['anger', 'fear', 'sadness', 'surprise']|4
Ask for me in my native city and they will tell you I was one of the victims of the cholera that ravaged Naples in 1884, and that my mortal remains lie moldering in the funeral vault of my ancestors.|12|13|[0, 2, 4]|['anger', 'fear', 'sadness']|3
Ask for me in my native city and they will tell you I was one of the victims of the cholera that ravaged Naples in 1884, and that my mortal remains lie moldering in the funeral vault of my ancestors.|44|45|[4]|['sadness']|1
At all events, it was ascertained beyond doubt, that, being at last a married woman, and entitled to splendors of the kind, Octavia would not lack them.|29|31|[3, 5]|['joy', 'surprise']|2
At its close Lady Theobald found herself in an utterly bewildered and thunderstruck condition.|3|7|[2, 5]|['fear', 'surprise']|2
At last it came, no dream this time; Isaacs stood by my bed-side in the gray of the morning, himself grayer than the soft neutral-tinted dawn.|26|27|[1, 4]|['disgust', 'sadness']|2
At last there came a sigh, deeper and more prolonged; and with it she died.|15|16|[2, 4]|['fear', 'sadness']|2
At such times he tried to fancy himself in the dying man's position, and then the sweat of horror came upon his brow.|3|4|[1, 2, 4]|['disgust', 'fear', 'sadness']|3
At the end of a long silence Alice said: 'Well, dear, I hope you have come to live with us, or at any rate to pay us a long visit.'|16|17|[3, 5]|['joy', 'surprise']|2
At the end of the street Laura stopped suddenly.|6|8|[5]|['surprise']|1
At the same moment he dropped the torch, and seizing the bags of ballast that lay between his feet, hove them overboard, springing across the thwarts towards San Miniato as he let them go.|39|40|[2]|['fear']|1
At this moment John Short hastily left the room and fled upstairs to warn Mrs. Ambrose of what was happening.|3|5|[2, 5]|['fear', 'surprise']|2
At this point the inspiration seemed to desert her, and raising her pen from the paper, she bit its end thoughtfully, seeking for a transitional phrase whereby she might be able to allude to the Light-god.|12|13|[0, 1, 2, 4]|['anger', 'disgust', 'fear', 'sadness']|4
Bad as his temper was, he had never given way to it in his life as he gave way to it when he read the Captain's letter.|14|15|[1, 4]|['disgust', 'sadness']|2
Banish only from your thoughts the human suggestion that what you love most is lost, gone irrevocably.|11|12|[2, 4]|['fear', 'sadness']|2
"Baron Benoni, he said, in a low voice, ""I warn you that you are most unwelcome here."|14|15|[2, 5]|['fear', 'surprise']|2
"Baron Benoni, he said, in a low voice, ""I warn you that you are most unwelcome here."|18|19|[4]|['sadness']|1
Beatrice was glad, for she fancied that he was recovering from his insane passion for her.|0|2|[3]|['joy']|1
Beatrice was glad, for she fancied that he was recovering from his insane passion for her.|14|15|[0, 2, 3]|['anger', 'fear', 'joy']|3
Because I find it difficult to distinguish between the things a young man says in jealous pique and the real belief he entertains when he is not throwing savage words about.|10|13|[0, 1]|['anger', 'disgust']|2
Because men were bad and tempted them, and moreover because they were so made.|1|2|[1, 4]|['disgust', 'sadness']|2
Because that Supreme Shape of Light finds a portion of Himself in all pure souls that love Him, and HE CANNOT DESPISE HIMSELF.|17|18|[3]|['joy']|1
Because, being pure Light, He is also pure Love; the power or capacity of Love implies the necessity of Loving; the necessity of loving points to the existence of things to be loved--hence the secret of creation.|6|7|[3]|['joy']|1
Before long, however, she disappeared, leaving her mother and San Miniato together.|5|6|[2]|['fear']|1
Before that high-throned poet-soul Adela bent in humble reverence.|11|13|[1, 4]|['disgust', 'sadness']|2
