text|experiencer|emotion|explicit
A minute or two ago she had been untroubled by a thought which concerned herself; now her blood was hot, and all her being moved at the impulse of a passionate desire.|her|['anger', 'joy']|True
A moment later he was cantering up the road again, to the considerable astonishment of the labourers, who were accustomed to see him spend at least half an hour in examining the work done.|he|['joy', 'surprise']|True
A new world opened out before you in endless vistas of untold and undreamed bliss.|you|['joy']|True
A sweet uncertainty of the future half-tinged your joy with a shadow of sadness, which you had not known before: but love sadness is only the shading and gentle pencilling in love's wondrous picture, whereby the whole light of the painting is made clearer and stronger.|you|['sadness']|True
A sweet uncertainty of the future half-tinged your joy with a shadow of sadness, which you had not known before: but love sadness is only the shading and gentle pencilling in love's wondrous picture, whereby the whole light of the painting is made clearer and stronger.|your|['joy', 'sadness']|True
A truce to thy musty volumes!|thy|['joy']|True
A woman of sordid mind could easily believe that most people would not refuse to allow their children to remain friends with a little heiress of diamond mines.|A woman of sordid mind|['anger', 'disgust', 'fear', 'sadness']|True
Adela knew that constraint between them was inevitable; it was enough that Emma spoke with good-will.|them|['anger', 'fear', 'sadness']|True
Adela was not so sad as they had feared to find her.|they|['fear']|True
Adela's bosom heaved, but excess of joy seemed to give her power to deal lightly with the gift that was offered her.|her|['joy']|True
After a long silence Kate said: 'I've been very ill, haven't I?|Kate|['disgust', 'sadness']|True
"After all,"" she said, ""I have the consolation of knowing that you must have been very much in love with me."|you|['joy']|True
After an hour passed with Stella she could breathe freely the atmosphere of beauty and love.|she|['joy']|True
After breakfast, as usual, they drank coffee and smoked upon the terrace, which Beatrice was beginning to hate for its unpleasant associations.|Beatrice|['anger', 'disgust', 'fear', 'sadness']|True
After dinner Giovanni told him the story of Del Ferice's escape.|Del Ferice's|['fear']|True
After you have seen him, you cannot judge whether you ought to see him or not, retorted Doctor Longstreet growing red in the face.|Doctor Longstreet|['anger']|True
Again Mr. Juxon's authoritative tone checked the detective, who drew back, making some angry retort which no one heard.|Mr. Juxon's|['anger', 'disgust']|True
Again, in these last moments, when the locked door still holds between them and the death awaiting them, her mood is one of agonised terror, not for herself, but for him; while he, exalted far above all fear, supports and calms her.|he|['joy']|True
Ah, but you did it, dear, all the same, she said, and kissed him.|she|['joy', 'surprise']|True
Ah, why did I leave my life of contemplation and prayer to enter into that of desire....|I|['sadness', 'surprise']|True
"Alack, cried Alicia, ""I am shent!"""|Alicia|['sadness']|True
Alice and the doctor looked at each other and smiled, but their thoughts were too firmly fixed on the actual problem of their united lives to wander far in the most hidden ways of the old world's psychical extravagances.|Alice and the doctor|['joy', 'surprise']|True
Alice had lived with her mother in Wilton Square since her recovery from the illness which for a long time had kept her in ignorance of the double calamity fallen upon her.|her|['sadness']|True
Alice no longer concealed her joy.|Alice|['joy']|True
All that is of the intellect; I only live in my passion.|I|['joy']|True
All that you felt and knew in those short days of perfect love on earth was good and true and noble, and shall not be forgotten hereafter.|you|['joy']|True
All the desperate energy of a loving woman driven to bay was in her attitude as she repelled Macias, whereas in the agony of her last clinging appeal to him, as his guards lead him off, every trace of her momentary heroism had died away.|her|['anger', 'disgust', 'fear', 'sadness']|True
All this didn't sound very affectionate; but I think all the same Tiza did love Becky, and I believe she tried to do her best in her own funny way while Becky was ill.|Becky|['disgust', 'sadness']|True
All this didn't sound very affectionate; but I think all the same Tiza did love Becky, and I believe she tried to do her best in her own funny way while Becky was ill.|Tiza|['joy']|True
Almost I regretted it--yes, on my very wedding-morn I looked back to the old days--old now though so recent--and sighed to think they were ended.|I|['sadness']|True
Also because He is capable of all the highest emotions known to man, in a far larger and grander degree, besides possessing other sentiments and desires unimaginable to the human mind.|He|['surprise']|True
Always, till we die, my beloved, he repeated. |we|['fear', 'sadness']|True
"Among other things, we spoke of the Spanish violinist Sarasate, and I amused Heliobas by quoting to him some of the criticisms of the London daily papers on this great artist, such as, ""He plays pieces which, though adapted to show his wonderful skill, are the veriest clap-trap;"" ""He lacks breadth and colour;"" ""A true type of the artist virtuoso,"" etc., etc."|I|['joy']|True
"Among other things, we spoke of the Spanish violinist Sarasate, and I amused Heliobas by quoting to him some of the criticisms of the London daily papers on this great artist, such as, ""He plays pieces which, though adapted to show his wonderful skill, are the veriest clap-trap;"" ""He lacks breadth and colour;"" ""A true type of the artist virtuoso,"" etc., etc."|his|['joy', 'surprise']|True
An old fool, said I. An old reprobate, said Hedwig, from her corner, in deepest indignation.|Hedwig|['anger', 'disgust']|True
An ye were the devil, I would not lay a hand on you. |ye|['anger', 'disgust', 'fear', 'sadness']|True
An ye were the devil, ye might go where ye will for me.|ye|['anger', 'disgust', 'fear', 'sadness']|True
And Captain Crewe thought so, too--and he died; and Mr. Carrisford had brain fever and ran away, and HE almost died.|HE|['fear', 'sadness']|True
And Captain Crewe thought so, too--and he died; and Mr. Carrisford had brain fever and ran away, and HE almost died.|he|['fear', 'sadness']|True
"And I didn't expect you to-- ""But now""--he broke in impatiently."|he|['anger', 'sadness']|True
And I grudged her nothing.|I|['anger']|True
And Madame de Châteauvieux, brushing the tears from her eyes with one hand, took Kendal's arm with the other, and hurried him along the narrow passages leading to the door on to the stage, M. de Châteauvieux following them, his keen French face glistening with a quiet but intense satisfaction.|his|['joy']|True
And after many strange things had happened, they knew each other well and loved each other dearly, and were married, although their marriage brought them the ill-will of several persons.|they|['joy', 'surprise']|True
And again I dreamed, and thought she changed and melted, glowed and turned to me.|she|['joy']|True
And again years passed by, and Nellie grew in beauty as John grew in reputation; and Nellie had both brothers and sisters, as she had longed to have, and to her, their father was as her own; so that there was much harmony and peace and goodwill towards men in Billingsfield Hall.|Nellie|['joy']|True
And all the time, as we were pitching it in red hot, we were keeping the women off him as best we could, for they were as wild as harpies.|they|['surprise']|True
And every month of his life he grew handsomer and more interesting.|he|['joy']|True
And full of happy people was the meadow between the old house on the Moss and the pack-horse road in front of it.|people|['joy']|True
And he rode forth and destroyed utterly the wild riders of the eastern hills, and left not one child to weep for its father that was dead.|the wild riders of the eastern hills|['surprise']|True
And he took the bodies of Zoroaster the high priest, and of Nehushta the queen, and of the little Syrian maid, and he buried them with spices and fine linen, and in plates of pure gold, together in a tomb over against the palace, hewn in the rock of the mountain.|he|['fear', 'sadness']|True
And he turned his quid and spat.|he|['anger']|True
And he was so proud of the sentiment that he looked around proudly and mopped his forehead.|he|['joy']|True
And he who hath created all things which we see and which perish quickly, hath created also the things which we have not seen, but shall see hereafter;--and the time is at hand when our eyes shall be opened to the world which endureth, though they be closed in death upon the things which perish.|they|['disgust', 'fear', 'sadness']|True
And he who hath created all things which we see and which perish quickly, hath created also the things which we have not seen, but shall see hereafter;--and the time is at hand when our eyes shall be opened to the world which endureth, though they be closed in death upon the things which perish.|we|['fear', 'sadness']|True
And her hysterics got the better of the poor woman, and she began to laugh and cry both at once, and rock herself backward and forward.|she|['joy', 'sadness', 'surprise']|True
And hitherto it was his ignorance of Mr. Hyde that had swelled his indignation; now, by a sudden turn, it was his knowledge.|his|['anger', 'disgust']|True
And how madly we did worship!|we|['anger', 'disgust', 'fear', 'joy', 'sadness']|True
"And it will be ""always,"" till they die together, I think."|they|['fear', 'sadness']|True
And now /you/, of all people in the world, /you/, who, as I fancied, had long ago forgotten all about me, and were living comfortably in old England, turn up in a promiscuous way and find me where you least expected.|I|['joy']|True
And now he was strangely happy and strangely calm as he sat there by himself.|he|['joy']|True
And now it would seem as though even she had repented of it, and brought her gift with the rest.|her|['joy', 'surprise']|True
And now it would seem as though even she had repented of it, and brought her gift with the rest.|she|['sadness']|True
And now when this toy kingdom of ours has fallen, first of all by my demerits, and next by your inexperience, and we are here alone together, as poor as Job and merely a man and a woman - let me conjure you to forgive the weakness and to repose in the love.|me|['surprise']|True
And now you will tell me that Ruggiero did wrong and was a great sinner, and a murderer, and a suicide, and old Luigione is sure that he is burning in unquenchable fire.|Ruggiero|['anger', 'disgust', 'fear', 'sadness']|True
"And now you've lost her, she cried wildly; ""and some other school will get her and her money; and if she were like any other child she'd tell how she's been treated, and all our pupils would be taken away and we should be ruined."|she|['sadness', 'surprise']|True
"And now you've lost her, she cried wildly; ""and some other school will get her and her money; and if she were like any other child she'd tell how she's been treated, and all our pupils would be taken away and we should be ruined."|you|['fear', 'sadness']|True
And now, boy, the news of this battle, and the presence of yon crooked devil here in mine own wood, have broken me beyond all help.|me|['anger', 'sadness']|True
And now, boy, the news of this battle, and the presence of yon crooked devil here in mine own wood, have broken me beyond all help.|yon crooked devil|['anger', 'disgust', 'fear', 'sadness']|True
And oh, how beautiful she was, how wondrous beautiful!|she|['joy']|True
And she dropped her face on his thin hand and kissed it again and again.|she|['joy', 'surprise']|True
And she pushed through the crowd of white-robed men, who surged together in their sudden fear, like a white-crested wave heaved up from the deep by a fierce wind.|their|['anger', 'fear', 'surprise']|True
And she pushed through the crowd of white-robed men, who surged together in their sudden fear, like a white-crested wave heaved up from the deep by a fierce wind.|white-robed men|['surprise']|True
And she was in danger of making so much noise with her hysterical chokes and gurgles that her sister was obliged to go to her and apply salts and sal volatile to quiet her, instead of pouring forth her indignation at her audacity.|her|['anger', 'disgust', 'fear', 'sadness']|True
And she was in danger of making so much noise with her hysterical chokes and gurgles that her sister was obliged to go to her and apply salts and sal volatile to quiet her, instead of pouring forth her indignation at her audacity.|she|['fear', 'sadness']|True
And she was out of the carriage; and Miss Belinda, following her closely, was horrified to see her caught at once in the embrace of a tall, bronzed young man, who, a moment after, drew her into the little parlor, and shut the door.|Miss Belinda|['fear', 'joy', 'surprise']|True
"And so, George Curtis ended, ""we have lived for nearly two years, like a second Robinson Crusoe and his man Friday, hoping against hope that some natives might come here to help us away, but none have come."|George Curtis|['disgust', 'surprise']|True
And the younger woman's heart had gone out towards her, feeling how good a thing it is to find a friend in need, and learning to value in her happiness the wealth of human kindness she had found in her adversity.|her|['disgust', 'joy']|True
And then Milly and Olly kissed Becky's pale little face and went away, while poor little Becky looked after them as if she was _very_ sorry to see the last of them; and outside there were Tiza and baby and Mrs. Backhouse and even John Backhouse himself, waiting to say good-bye to them.|Milly and Olly|['joy']|True
And then when Paolo was buried deep under the damp stones, who would be the first to ask for him?|Paolo|['fear', 'sadness']|True
And then, before he could add one word, a desperate seizure of pain shook the wounded man from head to foot, so that his body leaped in Dick's supporting arms, and with the extremity of that pang his spirit fled in silence.|the wounded man|['fear']|True
And then, still holding Madame de Châteauvieux with one hand, she held out the other to Paul, asking him how much fault he had to find, and when she was to take her scolding; and every gesture had a glow of youth and joy in it, of which the contagion was irresistible.|he|['sadness']|True
And then, still holding Madame de Châteauvieux with one hand, she held out the other to Paul, asking him how much fault he had to find, and when she was to take her scolding; and every gesture had a glow of youth and joy in it, of which the contagion was irresistible.|her|['anger']|True
And then, when her dear hand is about to open to him the door of his prison, it is too late.|his|['anger', 'fear', 'sadness']|True
And there, amid the sounding of tuckets and the clash of armoured soldiery and horses continually moving forth, Dick and Joan sat side by side, tenderly held hands, and looked, with ever growing affection, in each other's eyes.|Dick and Joan|['joy']|True
And to think that that quivering old mass of perambulating jealousy--that living incarnation of envy, hatred, malice, and all  uncharitableness--should be able to make you uncomfortable for a single moment, mother darling, with her petty, dribbling, doddering venom, why, it's simply unendurable.'|mother darling|['joy']|True
And when he searched her face with eyes on fire with their joy, when he drew her to his heart in passionate triumph, the untruth of years fell from her like a veil, and she had achieved her womanhood.|he|['joy']|True
And when he searched her face with eyes on fire with their joy, when he drew her to his heart in passionate triumph, the untruth of years fell from her like a veil, and she had achieved her womanhood.|she|['joy']|True
And when he searched her face with eyes on fire with their joy, when he drew her to his heart in passionate triumph, the untruth of years fell from her like a veil, and she had achieved her womanhood.|their|['joy']|True
And when, down there among the mango-trees in the Terai, your lips first touched hers and your arm pressed her to your side, the joy that was yours was as the joy of the immortals.|your|['joy']|True
And with the letter telling the sad story in his hand, and illimitable sorrow in his soul, he went out in the evening air.|his soul|['fear', 'sadness']|True
And yet the uneasiness grew upon him.|him|['sadness']|True
And yet, how pleasant to be bullied by her and to sue for pardon without having the slightest notion of what your fault was!|her|['anger', 'joy', 'surprise']|True
And yet, how pleasant to be bullied by her and to sue for pardon without having the slightest notion of what your fault was!|your|['sadness']|True
And--I am much happier--and I have come to ask you to do something for me.|I|['joy']|True
Another hour passed away, marked by the cavernous breathing of the woman as she crept to the edge of death.|she|['disgust', 'fear', 'sadness']|True
Anywhere, anywhere; only always with you, Nino, till we die together.|we|['fear', 'sadness']|True
Appears he's taken a fancy to Lucia.|he|['joy']|True
As a poet forms poems, or a musician melodies, so God formed by a Thought the Vast Central Sphere in which He dwells, and peopled it with the pure creations of His glorious fancy.|his|['joy']|True
As for instance, when she found Him among the doctors of the law, she for one moment suffered her humanity to get the better of her in anxious inquiries; and His reply, 'Why sought ye Me?|she|['anger', 'disgust', 'fear', 'sadness']|True
As for poor Tiza, a long sleep had cheered her up greatly, and when Milly and Olly went to take her out with them after breakfast, they found her almost as merry and chatty as usual.|Tiza|['joy', 'surprise']|True
As for poor Tiza, a long sleep had cheered her up greatly, and when Milly and Olly went to take her out with them after breakfast, they found her almost as merry and chatty as usual.|her|['joy']|True
As for the other actors, I suppose they will get through their parts somehow, but at present I feel like a man at the foot of the gallows.|I|['anger', 'fear', 'sadness']|True
As he grew older, he had a great many quaint little ways which amused and interested people greatly.|he|['joy']|True
As it was, he began to see himself once more intruding, profiting, perhaps, by her misfortune, and now that she was fallen, proffering unloved caresses to the wife who had spurned him in prosperity.|her|['fear', 'sadness']|True
As often as he reached the stage at which he imagined Paolo dead, hidden, and buried in a cellar, the same shiver passed through him as he glanced involuntarily behind him.|he|['fear', 'sadness']|True
As she cried to him and to them all, she rushed forward and laid one hand upon his shoulder.|she|['sadness']|True
As the days went by her mind became denser, she fell into obtusities out of which she found it difficult to rouse herself.|she|['disgust', 'fear']|True
As the evening shadows fell, Beatrice was seated at the piano in the sitting-room playing softly to herself such melancholy music as she could remember, which was not much.|Beatrice|['sadness']|True
As they steamed along a high embankment, he found himself looking into a little suburban cemetery.|he|['sadness']|True
As though to escape from it by braving it he set himself resolutely to consider the expediency of destroying his brother.|he|['anger', 'fear', 'sadness']|True
As yet, the confusion seemed to be all in the lower story of the palace, but the roaring din rose louder every moment--the shrieks of wounded women with the moaning of wounded men, the clash of swords and arms, and, occasionally, a quick, loud rattle, as half a dozen arrows that had missed their mark struck the wall together.|wounded women|['anger', 'fear', 'sadness', 'surprise']|True
Ask for me in my native city and they will tell you I was one of the victims of the cholera that ravaged Naples in 1884, and that my mortal remains lie moldering in the funeral vault of my ancestors.|I|['anger', 'fear', 'sadness']|True
Ask for me in my native city and they will tell you I was one of the victims of the cholera that ravaged Naples in 1884, and that my mortal remains lie moldering in the funeral vault of my ancestors.|my|['sadness']|True
At all events, it was ascertained beyond doubt, that, being at last a married woman, and entitled to splendors of the kind, Octavia would not lack them.|Octavia|['joy', 'surprise']|True
At its close Lady Theobald found herself in an utterly bewildered and thunderstruck condition.|Lady Theobald|['fear', 'surprise']|True
At last it came, no dream this time; Isaacs stood by my bed-side in the gray of the morning, himself grayer than the soft neutral-tinted dawn.|himself|['disgust', 'sadness']|True
At last there came a sigh, deeper and more prolonged; and with it she died.|she|['fear', 'sadness']|True
At such times he tried to fancy himself in the dying man's position, and then the sweat of horror came upon his brow.|he|['disgust', 'fear', 'sadness']|True
At the end of a long silence Alice said: 'Well, dear, I hope you have come to live with us, or at any rate to pay us a long visit.'|I|['joy', 'surprise']|True
At the end of the street Laura stopped suddenly.|Laura|['surprise']|True
At the same moment he dropped the torch, and seizing the bags of ballast that lay between his feet, hove them overboard, springing across the thwarts towards San Miniato as he let them go.|he|['fear']|True
At this moment John Short hastily left the room and fled upstairs to warn Mrs. Ambrose of what was happening.|John Short|['fear', 'surprise']|True
At this point the inspiration seemed to desert her, and raising her pen from the paper, she bit its end thoughtfully, seeking for a transitional phrase whereby she might be able to allude to the Light-god.|her|['anger', 'disgust', 'fear', 'sadness']|True
Bad as his temper was, he had never given way to it in his life as he gave way to it when he read the Captain's letter.|his|['disgust', 'sadness']|True
Banish only from your thoughts the human suggestion that what you love most is lost, gone irrevocably.|you|['fear', 'sadness']|True
"Baron Benoni, he said, in a low voice, ""I warn you that you are most unwelcome here."|I|['fear', 'surprise']|True
"Baron Benoni, he said, in a low voice, ""I warn you that you are most unwelcome here."|you|['sadness']|True
Beatrice was glad, for she fancied that he was recovering from his insane passion for her.|Beatrice|['joy']|True
Beatrice was glad, for she fancied that he was recovering from his insane passion for her.|his|['anger', 'fear', 'joy']|True
Because I find it difficult to distinguish between the things a young man says in jealous pique and the real belief he entertains when he is not throwing savage words about.|a young man|['anger', 'disgust']|True
Because men were bad and tempted them, and moreover because they were so made.|men|['disgust', 'sadness']|True
Because that Supreme Shape of Light finds a portion of Himself in all pure souls that love Him, and HE CANNOT DESPISE HIMSELF.|him|['joy']|True
Because, being pure Light, He is also pure Love; the power or capacity of Love implies the necessity of Loving; the necessity of loving points to the existence of things to be loved--hence the secret of creation.|He|['joy']|True
Before long, however, she disappeared, leaving her mother and San Miniato together.|she|['fear']|True
Before that high-throned poet-soul Adela bent in humble reverence.|Adela|['disgust', 'sadness']|True
Behold, they are breaking down the doors!|they|['anger', 'sadness']|True
"Benoni eyed him with a sort of pitying curiosity as he made this speech:-- ""Do not fear, Signor Cardegna. "|Benoni|['sadness', 'surprise']|True
Benoni smiled, but both Hedwig and Nino looked at me in surprise.|Benoni|['joy', 'surprise']|True
Benoni smiled, but both Hedwig and Nino looked at me in surprise.|Hedwig and Nino|['surprise']|True
Besides, I really did offer to fight Lira, as I have told you.|I|['anger', 'fear']|True
Bless your heart, Harry, what'd be the good of talking that way to the likes of she?|Harry|['joy']|True
Both women entered; the Syrian girl looked cautiously back and pushed the heavy bronze back to its place.|the Syrian girl|['fear']|True
But Becky looked very pleased, and said she would like a picture-book she thought very much, for it was dull sometimes when mother was busy and Tiza was nursing baby.|Becky|['joy']|True
But I am sick of the subject.'|I|['sadness']|True
But I cannot--upon my life I cannot--understand her having given her love to such a man as that!'|her|['joy']|True
But I love you, my brother, and I have somewhat to say to you in your trouble, some advice to give you in your distress.|I|['joy']|True
But I love you, my brother, and I have somewhat to say to you in your trouble, some advice to give you in your distress.|your|['anger', 'disgust', 'fear', 'sadness']|True
But I think he is still down on his luck about Foulata.|I|['sadness']|True
But I warn you I will not be trifled with.|I|['fear', 'surprise']|True
But I was a skulker in the grain, and found it easier to desert than to oppose you.|I|['anger', 'disgust', 'fear', 'sadness']|True
But I will not let you stand there and say bitter and undeserved things to this same wife of mine, abusing the name of father and the terms 'authority' and 'love,' forsooth!|you|['anger', 'disgust', 'sadness']|True
But I'm afraid I can do nothing.'|I|['fear']|True
But Margaret went to her room at last with a heavy heart, and would not be comforted.|Margaret|['sadness']|True
But Margaret's eyes were heavy and her gladness was gone from her.|her|['sadness']|True
But Miss Amelia's disappointment had made her hysterical enough not to care what occurred next.|Miss Amelia's|['disgust', 'sadness']|True
But Mrs. Barton remained implacable, and after laying one more kiss on her sister's pale cheek, Alice, in a passionate flood of tears, was driven away.|Alice|['sadness']|True
But Mrs. Barton remained implacable, and after laying one more kiss on her sister's pale cheek, Alice, in a passionate flood of tears, was driven away.|Mrs. Barton|['joy', 'surprise']|True
But Nehushta broke upon their melody, with a sudden cry, as she rushed before them.|Nehushta|['anger', 'sadness', 'surprise']|True
But Nehushta's head fell forward on the high priest's breast, and her arms clasped him wildly as his clasped her.|him|['surprise']|True
But Nino turned and looked at her, and his face was so triumphant that she got back her courage, and, clasping his hand, bravely awaited what was to come.|his|['joy']|True
But San Miniato was left to his own devices and went and bathed, walking out into the water as far as he could and then standing still to enjoy the coolness.|he|['joy']|True
But after the love-tokens had been put back in the box, and Kate again asked Mrs. Forest to bring Dick to her, she began to ramble in her speech, and to fancy herself in Hanley.|she|['joy']|True
But another influence had begun to work upon his brain, since the moment when he had been frightened by the sound behind him while he was examining the hole beneath the strong box.|he|['fear', 'surprise']|True
