text|entity_start|entity_end|emotion_labels|emotions|emotion_count
"""And leave my young lady in this sad place? Ah no, I must watch over her."" ""She seems to have plenty of friends."""|14|15|[2]|['fear']|1
"""And now to the chase. I promise you it will be a wilder and more exciting ride than you ever enjoyed in the king's company. To the chase!--to the chase, I say!"""|21|22|[5]|['surprise']|1
"""And thou wouldst have another gift than this?"" Zador asked, his disappointment apparent. ""Nay."|11|13|[4]|['sadness']|1
"""And will you permit me to say,"" said the other, with a snap, ""that I don't like Mr. Evan MacIan?"" Somewhat to the speaker's surprise this did not inflame the sensitive sceptic; he had the air of thinking thoroughly, and then he said: ""No, I don't think it's my friend MacIan that taught me that. I think I should always have said that I don't like this."|34|36|[5]|['surprise']|1
"""And will you permit me to say,"" said the other, with a snap, ""that I don't like Mr. Evan MacIan?"" Somewhat to the speaker's surprise this did not inflame the sensitive sceptic; he had the air of thinking thoroughly, and then he said: ""No, I don't think it's my friend MacIan that taught me that. I think I should always have said that I don't like this."|42|46|[0]|['anger']|1
"""And you are perfectly hard. Is it possible that you were actually pleased to have Mr. Fulkerson tease you about Mr. Dryfoos?"""|24|25|[3]|['joy']|1
"""Atone?"" escaped Miriam's livid lips, and a defiant glance blazed at him from her black eyes. But, undismayed, he continued, grasping her hand with so firm a pressure that it hurt her:  ""Aye, you make me atone for it!--Shame on me, if I permit this disgraceful hour to be followed by similar ones."""|31|32|[0]|['anger']|1
"""Atone?"" escaped Miriam's livid lips, and a defiant glance blazed at him from her black eyes. But, undismayed, he continued, grasping her hand with so firm a pressure that it hurt her:  ""Aye, you make me atone for it!--Shame on me, if I permit this disgraceful hour to be followed by similar ones."""|45|46|[0, 4]|['anger', 'sadness']|2
"""Barring accidents, it may be made in that time."" She did not notice how dull was his tone; how he avoided her gaze. Blind to him, she turned the ring around and around on her finger, as though her thoughts were concentrated on it."|33|34|[1]|['disgust']|1
"""Barring accidents, it may be made in that time."" She did not notice how dull was his tone; how he avoided her gaze. Blind to him, she turned the ring around and around on her finger, as though her thoughts were concentrated on it."|20|21|[1]|['disgust']|1
"""But afterwards, in that awful moment when hope was gone and the world slipped from you, when there was nothing real but God and your own soul, what were your thoughts then?"" The boy made no reply, but shifted uneasily under the hand which still rested upon him. The heavy eyes which had brightened while he spoke to La Mothe grew dull and peevishly sullen again as, according to habit, he glanced towards Ursula de Vesc."|37|39|[2]|['fear']|1
"""But come in here a moment,"" he continued, just as I decided that he knew nothing at all. And, leading me into his minute consulting-room,  Dr. Theobald solemnly presented me with a sovereign by way of compensation, which I pocketed as solemnly, and with as much gratitude as if I had not fifty of them distributed over my person as it was. The good fellow had quite forgotten my social status, about which he himself had been so particular at our earliest interview; but he had  never accustomed himself to treat me as a gentleman, and I do not suppose he had been improving his memory by the tall tumbler which I saw him poke behind a photograph as we entered."|34|39|[4]|['sadness']|1
"""But come in here a moment,"" he continued, just as I decided that he knew nothing at all. And, leading me into his minute consulting-room,  Dr. Theobald solemnly presented me with a sovereign by way of compensation, which I pocketed as solemnly, and with as much gratitude as if I had not fifty of them distributed over my person as it was. The good fellow had quite forgotten my social status, about which he himself had been so particular at our earliest interview; but he had  never accustomed himself to treat me as a gentleman, and I do not suppose he had been improving his memory by the tall tumbler which I saw him poke behind a photograph as we entered."|135|136|[4]|['sadness']|1
"""But come, you must not go without the champagne."" He led the way to the adjacent room, which proved to be only the ante-chamber of another, on the threshold of which Thatcher stopped with genuine surprise. It was an elegantly furnished library."|39|41|[5]|['surprise']|1
"""But there's one thing,"" said my wife, ""that is more interesting to me than what you have been talking about. It is the other instances in the life of St. Peter in which you said he failed in a similar manner from pride or self-satisfaction."" ""One, at least, seems to me very clear."|35|39|[1, 3, 4]|['disgust', 'joy', 'sadness']|3
"""But there's one thing,"" said my wife, ""that is more interesting to me than what you have been talking about. It is the other instances in the life of St. Peter in which you said he failed in a similar manner from pride or self-satisfaction."" ""One, at least, seems to me very clear."|43|44|[1, 3]|['disgust', 'joy']|2
"""But there's one thing,"" said my wife, ""that is more interesting to me than what you have been talking about. It is the other instances in the life of St. Peter in which you said he failed in a similar manner from pride or self-satisfaction."" ""One, at least, seems to me very clear."|41|42|[1, 4]|['disgust', 'sadness']|2
"""But what in the world can there be for James and I to have differences about? I am sure that I love him most truly; and I am sure he loves me as fondly as I love him. In mutual love there can be no strife--no emulation, except in the performance of good offices."|40|41|[3]|['joy']|1
"""But what in the world can there be for James and I to have differences about? I am sure that I love him most truly; and I am sure he loves me as fondly as I love him. In mutual love there can be no strife--no emulation, except in the performance of good offices."|10|12|[3]|['joy']|1
"""But what in the world can there be for James and I to have differences about? I am sure that I love him most truly; and I am sure he loves me as fondly as I love him. In mutual love there can be no strife--no emulation, except in the performance of good offices."|42|43|[3]|['joy']|1
"""But you never told me of it."" ""Have you ever told me of your feelings for another young lady?"" replied Fink, laughing."|19|22|[3]|['joy']|1
"""But you never told me of it."" ""Have you ever told me of your feelings for another young lady?"" replied Fink, laughing."|16|17|[3]|['joy']|1
"""But,"" I said--and such confidence I had from what she had already uttered, that I was sure the experiment was not a cruel one--""some of your sons _were_ drowned for all that you say about their safety."" ""Well, sir,"" she answered, with a sigh, ""I trust they're none the less safe for that. It would be a strange thing for an old woman like me, well-nigh threescore and ten, to suppose that safety lay in not being drownded."|60|62|[4]|['sadness']|1
"""But,"" I said--and such confidence I had from what she had already uttered, that I was sure the experiment was not a cruel one--""some of your sons _were_ drowned for all that you say about their safety."" ""Well, sir,"" she answered, with a sigh, ""I trust they're none the less safe for that. It would be a strange thing for an old woman like me, well-nigh threescore and ten, to suppose that safety lay in not being drownded."|53|54|[2, 4]|['fear', 'sadness']|2
"""But,"" I said--and such confidence I had from what she had already uttered, that I was sure the experiment was not a cruel one--""some of your sons _were_ drowned for all that you say about their safety."" ""Well, sir,"" she answered, with a sigh, ""I trust they're none the less safe for that. It would be a strange thing for an old woman like me, well-nigh threescore and ten, to suppose that safety lay in not being drownded."|63|65|[2]|['fear']|1
"""But,"" he said, after a pause, ""how happy your life must have been here! I always felt in Manchester that I was living at the bottom of a black chimney, in smoke and noise and fetor, material and spiritual. Here, you have your holy people, and the silence and quiet of God."|27|28|[4]|['sadness']|1
"""But,"" said my wife, ""are not these feelings in a great measure dependent upon the state of one's health? I find it so different when the sunshine is inside me as well as outside me."" ""Not a doubt of it, my dear."|40|41|[3]|['joy']|1
"""By Jove!"" said Pen, bouncing up and stamping his foot, ""I'll show you that I am a better man than you think for."" Warrington only laughed the more, and blew twenty-four puffs rapidly out of his pipe by way of reply to Pen."|56|57|[0, 5]|['anger', 'surprise']|2
"""By Jove!"" said Pen, bouncing up and stamping his foot, ""I'll show you that I am a better man than you think for."" Warrington only laughed the more, and blew twenty-four puffs rapidly out of his pipe by way of reply to Pen."|32|34|[0, 5]|['anger', 'surprise']|2
"""By Jove,--but isn't she about somewhere?"" exclaimed Van Alstyne, restoring his glass with an uneasy glance. ""No; she ran off while you were all mixing the punch down stairs."|14|18|[2]|['fear']|1
"""Can you tell me where to find the sexton?"" ""Well, sir,"" she answered, with a gleam of the smile brightening underneath her old skin, as it were, ""I be all the sexton you be likely to find this mornin', sir. My husband, he be gone out to see one o' Squire Tregarva's hounds as was took ill last night."|17|18|[3]|['joy']|1
"""Cheer thee, my Nymphalin,"" said the prince, ""we will lay the tempest;"" and he waved his sword and muttered the charms which curb the winds and roll back the marching thunder: but for once the tempest ceased not at his spells. And now, as the fairies sped along the troubled air, a pale and beautiful form met them by the way, and the fairies paused and trembled; for the power of that Shape could vanquish even them. It was the form of a Female, with golden hair, crowned with a chaplet of withered leaves; her bosoms, of an exceeding beauty, lay bare to the wind, and an infant was clasped between them, hushed into a sleep so still, that neither the roar of the thunder, nor the livid lightning flashing from cloud to cloud, could even ruffle, much less arouse, the slumberer."|79|82|[2]|['fear']|1
"""Close your eyes, Hetty,"" Dinah said, ""and let us pray without ceasing to God."" And in a low voice, as the cart went slowly along through the midst of the gazing crowd, she poured forth her soul with the wrestling intensity of a last pleading, for the trembling creature that clung to her and clutched her as the only visible sign of love and pity. Dinah did not know that the crowd was silent, gazing at her with a sort of awe--she did not even know how near they were to the fatal spot, when the cart stopped, and she shrank appalled at a loud shout hideous to her ear, like a vast yell of demons."|60|61|[2, 4]|['fear', 'sadness']|2
"""Clover--clover? _Clo_--""  Greenacre's first repetition of the name was mechanical, the next sounded a note of confused surprise, the third broke short in a very singular way, just as if his eyes had suddenly fallen on something which startled him into silence. Yet no one had entered the room, no face had appeared at the door."|14|17|[5]|['surprise']|1
"""Come again soon."" He breathed a sigh of relief as the elevator cage dropped them from sight. A salesman, who had been standing by, spoke to Anson."|5|6|[2]|['fear']|1
"""Commines!"" he repeated, the sharpness of his frightened voice dwindling breathlessly. ""Commines, Philip, what--what news from Amboise?"""|12|13|[2]|['fear']|1
"""Course she don't dare say it,"" he challenged. From within Lulu, that strange Lulu, that other Lulu who sometimes fought her battles, suddenly spoke out:  ""I, Lulu, take thee, Ninian, to be my wedded husband."" ""You will?"""|40|42|[5]|['surprise']|1
"""Course she don't dare say it,"" he challenged. From within Lulu, that strange Lulu, that other Lulu who sometimes fought her battles, suddenly spoke out:  ""I, Lulu, take thee, Ninian, to be my wedded husband."" ""You will?"""|9|10|[5]|['surprise']|1
"""Did he tell you his name?"" queried the weeping listener. ""He did, and ever since we woke up and found ourselves back yonder on the lake shore I have been trying to recall it."|12|13|[4]|['sadness']|1
"""Don't you remember a time, Wynnie, when the things about you--the sky and the earth, say--seemed to you much grander than they seem now? You are old enough to have lost something."" She thought for a little while before she answered."|38|39|[4]|['sadness']|1
"""For God's sake don't,"" added the boy weakly, and fell to whimpering like a child. ""Oh, go home to your mother,"" retorted Dan, with a kind of desperate cruelty. Jack sobbed outright."|34|35|[0, 1]|['anger', 'disgust']|2
"""For God's sake don't,"" added the boy weakly, and fell to whimpering like a child. ""Oh, go home to your mother,"" retorted Dan, with a kind of desperate cruelty. Jack sobbed outright."|43|44|[0, 1]|['anger', 'disgust']|2
"""For the Lord's sake,"" cried Blaise, staring into the welter below, ""give me something in my bare hand. Rats, he called us, rats, and I won't die like a rat, I won't, I won't."" It was the cry of primitive nature and the Dauphin answered it."|8|11|[0, 1]|['anger', 'disgust']|2
"""From my experience of the Indian princes, there is very little trust to be placed in any agreement made with them. They keep it just as long as it suits them, and then break it; without the slightest sense of having done anything dishonourable. It seems to me that the position here is very much like that in the Deccan."|6|9|[4]|['sadness']|1
"""From my experience of the Indian princes, there is very little trust to be placed in any agreement made with them. They keep it just as long as it suits them, and then break it; without the slightest sense of having done anything dishonourable. It seems to me that the position here is very much like that in the Deccan."|34|35|[1]|['disgust']|1
"""Getting over the ground."" The traveler smiled to himself in a quiet way, as if the landlord's answer had touched some memory or experience. Nothing further being remarked, Mr. Adams retired to order a cup of tea for his guest."|6|8|[3]|['joy']|1
"""Good heavens, Bennett!"" Kellogg jettisoned his smile and slid on a look of shocked surprise. ""You surely can't be serious?"""|7|10|[5]|['surprise']|1
"""Good-night, gentlemen,"" replied Dagobert, as he directed his steps towards the stable, to give his horse a second allowance of provender. Morok approached him, and said in a voice even more humble than before: ""I have acknowledged my error, and asked your pardon. You have not answered me; do you still bear malice?"""|32|34|[1, 4]|['disgust', 'sadness']|2
"""Good-night, gentlemen,"" replied Dagobert, as he directed his steps towards the stable, to give his horse a second allowance of provender. Morok approached him, and said in a voice even more humble than before: ""I have acknowledged my error, and asked your pardon. You have not answered me; do you still bear malice?"""|57|58|[1]|['disgust']|1
"""He had such beautiful boots!"" answered Dora, at which there was a great laugh about the table. ""O!"|8|10|[3]|['joy']|1
"""He had such beautiful boots!"" answered Dora, at which there was a great laugh about the table. ""O!"|19|21|[3]|['joy']|1
"""He means a quarter,"" said a wise-looking, lank young man in riding gaiters. Bert, trying to conceal his consternation, produced a coin. ""That's a shilling,"" he said."|22|24|[2, 5]|['fear', 'surprise']|2
"""He must have been false to his wife--and so very soon!"" said Isabel with a sudden check. ""That's all that's wanting--that you should take up her cause!"""|16|18|[5]|['surprise']|1
"""He's coocoo."" The old man slapped the cover back on the periscope, tottered back to his perch on the platform. ""He sure has changed the last two years."|7|10|[0]|['anger']|1
"""He's worse than the first man,"" cried out my lady's aide-de-camp. ""He was a man, he was--a wild devil, but he had the courage of a man--whereas this fellow--what's the use of my lady paying his bills, and selling her diamonds, and forgiving him? He'll be as bad again next year."|20|22|[0, 2]|['anger', 'fear']|2
"""He's worse than the first man,"" cried out my lady's aide-de-camp. ""He was a man, he was--a wild devil, but he had the courage of a man--whereas this fellow--what's the use of my lady paying his bills, and selling her diamonds, and forgiving him? He'll be as bad again next year."|67|68|[5]|['surprise']|1
"""He's worse than the first man,"" cried out my lady's aide-de-camp. ""He was a man, he was--a wild devil, but he had the courage of a man--whereas this fellow--what's the use of my lady paying his bills, and selling her diamonds, and forgiving him? He'll be as bad again next year."|11|19|[0, 2]|['anger', 'fear']|2
"""Home,"" he said softly, ""is where one's heart takes one. Home is just where love is."" Her eyes, as they met his, were for a moment suspiciously soft."|3|4|[3]|['joy']|1
"""How do you know that God wants me to go to bed?"" said Charlie, with something of surly impertinence, which I did not meet with reproof at once because there was some sense along with the impudence. ""I know that God wants you to do what I tell you, and to do it pleasantly."|15|17|[0, 1]|['anger', 'disgust']|2
"""How do you know that God wants me to go to bed?"" said Charlie, with something of surly impertinence, which I did not meet with reproof at once because there was some sense along with the impudence. ""I know that God wants you to do what I tell you, and to do it pleasantly."|58|59|[0]|['anger']|1
"""How so?"" ""We've had a brush wi' the redskins, sir, an' we had to kill one or two in self-defence."" McLeod's brow darkened."|21|22|[0]|['anger']|1
"""I always bring corn for them,"" she explained; ""they get so hungry, and sometimes they starve to death right out here. Papa says they are pernicious birds; but I don't care--do you mind their being pernicious?"" ""I?"|27|29|[0]|['anger']|1
"""I am only ten days in Amboise, ten days which seem like so many hours, and already Charles trusts me as he trusts Mademoiselle de Vesc."" Pushing out his loose-hung under lip Villon eyed his companion quizzically, but with a little pity through the banter. They were alone in the common room of the Chien Noir, and on the table by which they sat were two bottles of the famous '63 wine, one empty, the other with its tide at a low ebb, but La Mothe's horn mug was still unemptied after its first filling."|45|47|[3, 4, 5]|['joy', 'sadness', 'surprise']|3
"""I am only ten days in Amboise, ten days which seem like so many hours, and already Charles trusts me as he trusts Mademoiselle de Vesc."" Pushing out his loose-hung under lip Villon eyed his companion quizzically, but with a little pity through the banter. They were alone in the common room of the Chien Noir, and on the table by which they sat were two bottles of the famous '63 wine, one empty, the other with its tide at a low ebb, but La Mothe's horn mug was still unemptied after its first filling."|48|50|[4]|['sadness']|1
"""I am sitting wondering at myself, Harry,"" I said. ""Long after I was your age, Wynnie, I remember quite well that those words troubled me as they now trouble you. But when I read them over now, they seemed to me so lovely that I could hardly read them aloud."|56|57|[2, 4]|['fear', 'sadness']|2
"""I am sitting wondering at myself, Harry,"" I said. ""Long after I was your age, Wynnie, I remember quite well that those words troubled me as they now trouble you. But when I read them over now, they seemed to me so lovely that I could hardly read them aloud."|22|25|[2, 4]|['fear', 'sadness']|2
"""I am sitting wondering at myself, Harry,"" I said. ""Long after I was your age, Wynnie, I remember quite well that those words troubled me as they now trouble you. But when I read them over now, they seemed to me so lovely that I could hardly read them aloud."|52|53|[2, 4]|['fear', 'sadness']|2
"""I could tell you stories much more wonderful than that,"" he added; and so indeed the Captain could have done, without any further trouble than that of invention, with which portion of the poetic faculty Nature had copiously endowed him. He laughed to scorn Pen's love for Miss Fotheringay, when he came to hear of that amour from Arthur, as he pretty soon did, for, we have said, Pen was not averse to telling the story now to his confidential friends, and he and they were rather proud of the transaction. But Macheath took away all Pen's conceit on this head, not by demonstrating the folly of the lad's passion for an uneducated woman much his senior in years, but by exposing his absurd desire of gratifying his passion in a legitimate way."|102|103|[3, 5]|['joy', 'surprise']|2
"""I could tell you stories much more wonderful than that,"" he added; and so indeed the Captain could have done, without any further trouble than that of invention, with which portion of the poetic faculty Nature had copiously endowed him. He laughed to scorn Pen's love for Miss Fotheringay, when he came to hear of that amour from Arthur, as he pretty soon did, for, we have said, Pen was not averse to telling the story now to his confidential friends, and he and they were rather proud of the transaction. But Macheath took away all Pen's conceit on this head, not by demonstrating the folly of the lad's passion for an uneducated woman much his senior in years, but by exposing his absurd desire of gratifying his passion in a legitimate way."|55|60|[3]|['joy']|1
"""I could tell you stories much more wonderful than that,"" he added; and so indeed the Captain could have done, without any further trouble than that of invention, with which portion of the poetic faculty Nature had copiously endowed him. He laughed to scorn Pen's love for Miss Fotheringay, when he came to hear of that amour from Arthur, as he pretty soon did, for, we have said, Pen was not averse to telling the story now to his confidential friends, and he and they were rather proud of the transaction. But Macheath took away all Pen's conceit on this head, not by demonstrating the folly of the lad's passion for an uneducated woman much his senior in years, but by exposing his absurd desire of gratifying his passion in a legitimate way."|119|121|[3]|['joy']|1
"""I didn't mean to laugh,"" said Isabel. ""I laugh very seldom. Now you had better go away."""|12|14|[3]|['joy']|1
"""I do think you came to steal something, as you say the words, sir,"" Bows said. ""Do you mean to say that you came to pay a visit to poor old Bows, the fiddler; or to Mrs. Bolton, at the porter's lodge? O fie!"|37|38|[4]|['sadness']|1
"""I do think you came to steal something, as you say the words, sir,"" Bows said. ""Do you mean to say that you came to pay a visit to poor old Bows, the fiddler; or to Mrs. Bolton, at the porter's lodge? O fie!"|1|2|[4]|['sadness']|1
"""I do think you came to steal something, as you say the words, sir,"" Bows said. ""Do you mean to say that you came to pay a visit to poor old Bows, the fiddler; or to Mrs. Bolton, at the porter's lodge? O fie!"|45|57|[4]|['sadness']|1
"""I do think you came to steal something, as you say the words, sir,"" Bows said. ""Do you mean to say that you came to pay a visit to poor old Bows, the fiddler; or to Mrs. Bolton, at the porter's lodge? O fie!"|36|42|[4]|['sadness']|1
"""I do think you came to steal something, as you say the words, sir,"" Bows said. ""Do you mean to say that you came to pay a visit to poor old Bows, the fiddler; or to Mrs. Bolton, at the porter's lodge? O fie!"|28|29|[4]|['sadness']|1
"""I do,"" replied Dock. ""Then march; and if you turn to the right or the left, or attempt any irregular proceeding, I promise you, on the honor of Mr. C. Augustus Ebenier, that I will give you the benefit of every bullet this pistol contains, six in number, by actual count. Forward!"""|49|50|[0]|['anger']|1
"""I do,"" replied Dock. ""Then march; and if you turn to the right or the left, or attempt any irregular proceeding, I promise you, on the honor of Mr. C. Augustus Ebenier, that I will give you the benefit of every bullet this pistol contains, six in number, by actual count. Forward!"""|52|53|[0]|['anger']|1
"""I don't feel wonderful. At heart I'm just tired and lonesome--and longing for my own country."" ""That brings me to something I wanted to say."|9|11|[4]|['sadness']|1
"""I enjoyed our bridge immensely."" The two men were already on their way to the door when a sudden idea seemed to occur to Captain Griffiths. He turned back."|26|30|[5]|['surprise']|1
"""I had already inferred this relationship."" The remark evidently surprised her. ""On what ground could you base such an inference?"""|12|13|[5]|['surprise']|1
"""I hate the sight of London!"" Her tone had changed so suddenly that Flora winked. ""If it were not for Jack I would leave--get out."|16|17|[5]|['surprise']|1
"""I hate the sight of London!"" Her tone had changed so suddenly that Flora winked. ""If it were not for Jack I would leave--get out."|9|10|[5]|['surprise']|1
"""I have certainly had better quarters in my day,"" said he, ""but you need not call them absurd names before my man."" ""Then send your 'man' about his business,"" said Jacques Saillard, with an unpleasant stress upon the word indicated. But when the door was shut I heard Raffles assuring her that I knew nothing, that he was a real invalid overcome by a sudden mad temptation, and all he had told her of his life a lie to hide his whereabouts, but all he was telling her now she could prove for herself without leaving that building."|39|44|[3]|['joy']|1
"""I have certainly had better quarters in my day,"" said he, ""but you need not call them absurd names before my man."" ""Then send your 'man' about his business,"" said Jacques Saillard, with an unpleasant stress upon the word indicated. But when the door was shut I heard Raffles assuring her that I knew nothing, that he was a real invalid overcome by a sudden mad temptation, and all he had told her of his life a lie to hide his whereabouts, but all he was telling her now she could prove for herself without leaving that building."|62|64|[3]|['joy']|1
"""I have certainly had better quarters in my day,"" said he, ""but you need not call them absurd names before my man."" ""Then send your 'man' about his business,"" said Jacques Saillard, with an unpleasant stress upon the word indicated. But when the door was shut I heard Raffles assuring her that I knew nothing, that he was a real invalid overcome by a sudden mad temptation, and all he had told her of his life a lie to hide his whereabouts, but all he was telling her now she could prove for herself without leaving that building."|30|33|[3]|['joy']|1
"""I have hurried hither from my chamber, my liege,"" said Wyat, stepping forward, ""hearing there was some inquiry concerning me."" ""Is your majesty now satisfied?"" asked Anne Boleyn."|33|35|[3]|['joy']|1
"""I have made the greatest discovery in the world."" Her eyebrows were gently raised, the corners of her mouth quivered, her eyes fell. ""Dear me!"|25|26|[4, 5]|['sadness', 'surprise']|2
"""I have made the greatest discovery in the world."" Her eyebrows were gently raised, the corners of her mouth quivered, her eyes fell. ""Dear me!"|25|26|[4, 5]|['sadness', 'surprise']|2
"""I have not seen all kinds of liberals, and cannot, therefore, set myself up as a judge,"" said Alexandra, ""but I have heard all you have said with indignation. You have taken some accidental case and twisted it into a universal law, which is unjust."" ""Accidental case!"""|23|26|[1, 5]|['disgust', 'surprise']|2
"""I know now that I've been waiting for you. I thought it was friendship, but now I--""  She cried out so loudly, so bitterly, that he stopped. ""If you say it--if you say it now, Harlan, it will shame me so that I can never lift my eyes to yours again."|49|51|[0]|['anger']|1
"""I know now that I've been waiting for you. I thought it was friendship, but now I--""  She cried out so loudly, so bitterly, that he stopped. ""If you say it--if you say it now, Harlan, it will shame me so that I can never lift my eyes to yours again."|24|25|[0, 4]|['anger', 'sadness']|2
"""I know now that I've been waiting for you. I thought it was friendship, but now I--""  She cried out so loudly, so bitterly, that he stopped. ""If you say it--if you say it now, Harlan, it will shame me so that I can never lift my eyes to yours again."|34|35|[0, 4]|['anger', 'sadness']|2
"""I like you very much,"" he said in a moment. Miss Stackpole gave one of her infrequent laughs. ""You needn't think that by saying that you can buy me off."|13|16|[3]|['joy']|1
"""I must say, I was simply astounded at the high order of intelligence claimed for these creatures."" ""And you wanted to see how big a liar I was. I don't blame you; I had trouble believing it myself at first."""|40|41|[1]|['disgust']|1
"""I must say, I was simply astounded at the high order of intelligence claimed for these creatures."" ""And you wanted to see how big a liar I was. I don't blame you; I had trouble believing it myself at first."""|38|39|[1]|['disgust']|1
"""I shall not forget it,"" said Burton, and we stood a moment longer looking down at the dead. But it was folly to linger there, and we continued on, I helping Burton as well as I could. And a great loathing came over me for this game called war."|32|33|[1]|['disgust']|1
"""I suppose that means that he is the man who ought to be on my track,"" he observed. ""I shouldn't be in the least surprised to hear that he was,"" Philippa said drily. ""I have told you that he came and asked about you the other night, when he dined here."|36|39|[1, 5]|['disgust', 'surprise']|2
"""I suppose that means that he is the man who ought to be on my track,"" he observed. ""I shouldn't be in the least surprised to hear that he was,"" Philippa said drily. ""I have told you that he came and asked about you the other night, when he dined here."|60|61|[1, 5]|['disgust', 'surprise']|2
"""I tell you, Thelismer, you'll never get across with this! It's too devilish rank!"" Elder Dudley marched past, leading the last stragglers of his following from the hall."|0|2|[0]|['anger']|1
"""I think a great deal of my promises. Does that surprise you?"" ""You're right,"" Madame Merle audibly reflected."|16|17|[5]|['surprise']|1
"""I took his rooms?"" Philippa repeated, with a sudden little catch at her heart. ""Some one from here rang up, didn't they?"""|6|9|[5]|['surprise']|1
"""I wasn't thinking about you at all, Dr. Lansing. I was--and am--regretting that what I told the men couldn't be the truth. It's too bad they'll have so short a time."|27|28|[1]|['disgust']|1
"""I will tell your majesty what passed,"" interposed Nicholas Clamp, stepping forward, ""for I was with the damsel at the time. He came upon us suddenly from behind a great tree, and ordered her to accompany him to her grandsire."" ""Ha!"""|31|32|[5]|['surprise']|1
"""I will tell your majesty what passed,"" interposed Nicholas Clamp, stepping forward, ""for I was with the damsel at the time. He came upon us suddenly from behind a great tree, and ordered her to accompany him to her grandsire."" ""Ha!"""|34|35|[5]|['surprise']|1
"""I won't touch the bag! I'll die first!"" gasped Richard, whose rage had now reached the boiling point, and there was no more reason in him than in a mad dog."|14|16|[0]|['anger']|1
"""I'm a bit daunted, though,"" said Mr. Poyser, ""when I think as we may have notice to quit, and belike be forced to take a farm twenty mile off."" ""Eh,"" said the old man, staring at the floor and lifting his hands up and down, while his arms rested on the elbows of his chair, ""it's a poor tale if I mun leave th' ould spot an be buried in a strange parish. An' you'll happen ha' double rates to pay,"" he added, looking up at his son."|48|50|[4]|['sadness']|1
"""I'm a bit daunted, though,"" said Mr. Poyser, ""when I think as we may have notice to quit, and belike be forced to take a farm twenty mile off."" ""Eh,"" said the old man, staring at the floor and lifting his hands up and down, while his arms rested on the elbows of his chair, ""it's a poor tale if I mun leave th' ould spot an be buried in a strange parish. An' you'll happen ha' double rates to pay,"" he added, looking up at his son."|47|50|[4]|['sadness']|1
"""I'm going to give you a sound thrashing."" ""No, you are not,"" said Richard, who would rather have died on the spot than submit to the humiliation of a flogging. ""You will see whether I am or not."|20|22|[0, 1]|['anger', 'disgust']|2
"""I'm very glad,"" Isabel said. ""It must be a sudden decision."" ""Sudden enough, I believe; a courtship of three weeks."|6|8|[5]|['surprise']|1
